pitcher,name,Team,IP,ERA,ERA_adj_sc,FIP,xFIP,xERA,ERA_minus_FIP,ERA_minus_xERA,BABIP_allowed,lob_pct,hr_fb_rate,hard_hit_rate_allowed,barrel_rate_allowed,swstr_rate,k_pct,bb_pct,G,GS,TBF,key_fangraphs,fg_swstr_rate,fg_hr_fb_rate,BABIP_allowed_all,xERA_all,IP_sc,IP_sc_adj,RA_sc,FIP_sc,FIP_sc_all,lob_pct_sc,ERA_all_sc,park_factor,park_change,park_change_label,career_babip_allowed,career_hh_allowed,career_barrel_allowed,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,xwoba_gap,gb_pct,luck_score,conf_phase,career_ip,birth_year,age,fip_minus,pitcher_quality_tier,rtm_signal,rtm_confluence,amplification_cap_applied,stuff_plus_avg,best_pitch_type,stuff_plus_signal,total_starts,disaster_starts,disaster_rate,qs_count,qs_rate,start_variance,volatility_flag,volatility_label,pitch_mix_signal,pitch_mix_note,verdict,raw_buy_score,buy_qualified,lob_confluence_flag,curr_csw,career_csw_p,csw_gap,tier_sell,age_flag,owned_pct,fp_rank,contract_year,player_name,team,ip,player_type,role_override,curr_pitch_types,new_pitches,dropped_pitches,curr_swstr_overall,career_swstr_overall,swstr_gap,curr_primary_velo,career_primary_velo,velo_gap,cbs_rank
656546,Jeff Hoffman,TOR,19.7,6.41,,2.62,,3.135,3.79,3.28,0.51,,,0.155,0.036,0.177,,,,,,17432.0,,,0.5102040816326531,3.13456640625,19.666666666666668,,,,2.6182433278090884,,6.41,1.0,False,,0.2501,0.382,0.0835,0.2501,33,0.2551,0.2551,0.0849,0.462,0.3409,May,543.1,1993,33,69.1,Elite (FIP-<80),-0.515,Buy confluence,False,,,,21,0,0.0,0,0.0,,False,,,,Buy low,2.3335,True,,0.3528,0.2946,0.0582,,,51.0,267,False,Jeff Hoffman,TOR,19.7,RP,False,"FF,FS,SI,SL","FF,FS,SI,SL",,0.1804,,,96.7,,,
669160,Dustin May,STL,46.0,5.28,5.28,3.84,,4.492,1.44,0.79,0.338,0.657,0.121,0.321,0.036,0.078,,,,,,19716.0,,,0.3378378378378378,4.492092458536584,46.0,46.0,27.0,3.840591888929485,3.807631684478211,0.657051282051282,5.28,1.0,False,,0.2794,0.4199,0.0778,0.2794,29,0.2794,0.2794,0.0195,0.421,0.3366,May,337.1,1997,29,101.3,Average (95-105),-0.652,Buy confluence,False,106.3,SI,,9,2,0.222,4,0.444,6.48,True,High variance — signals less reliable,-0.05,abandonment -0.10 | rv_improve +0.05,Neutral,0.8777,False,,0.2538,0.2627,-0.0089,,,37.0,363,False,Dustin May,STL,46.0,SP,True,"CH,CU,FC,FF,PO,SI,ST","CH,CU,FC,FF,PO",,0.0781,0.2227,-0.1446,96.8,96.35,0.45,116
656638,Alex Lange,KC,19.7,5.95,2.25,0.81,,3.313,5.14,2.64,0.4,0.8,0.0,0.248,0.083,0.127,,,,,,19883.0,,,0.28,5.311880125,19.666666666666668,4.0,1.0,0.8079831932773107,4.499599260012478,0.8,5.95,1.0,False,,0.2472,0.3831,0.0554,0.2472,31,0.2472,0.2472,-0.0319,0.442,0.3331,May,192.1,1995,31,21.4,Elite (FIP-<80),-2.503,Buy confluence,False,,,,18,0,0.0,0,0.0,3.18,False,,,,Neutral,3.0989,True,,0.2818,0.3407,-0.0589,,,0.03,300.0,False,Alex Lange,KC,19.7,RP,False,"CH,FC,FF,KC,SI,SL","CH,FC,FF,KC,SI,SL",,0.1274,,,95.3,,,
680694,Kyle Bradish,BAL,46.0,5.09,5.09,3.84,,3.782,1.25,1.31,0.341,0.683,0.185,0.248,0.054,0.11,,,,,,24586.0,,,0.3414634146341463,3.7822243495145633,46.0,46.0,26.0,3.840591888929485,3.807631684478211,0.6833333333333333,5.09,1.0,False,,0.2774,0.4009,0.0733,0.2774,30,0.2774,0.2774,0.0354,0.523,0.3249,May,371.1,1996,30,101.3,Average (95-105),0.058,No confluence,False,,,,9,1,0.111,2,0.222,3.51,False,,,,Buy low,0.7684,True,,0.2794,0.276,0.0034,,,86.0,111,False,Kyle Bradish,BAL,46.0,SP,True,"CU,FF,SI,SL","CU,FF,SI,SL",,0.1103,,,94.3,,,27
689296,Anthony Nunez,BAL,19.3,7.45,2.25,3.81,,0.615,3.64,6.83,0.125,,0.5,0.301,0.06,0.167,,,,,,-1.0,,,0.2549019607843137,4.053563658823529,19.33333333333333,4.0,1.0,3.807983193277311,4.525022988826038,,7.45,1.0,False,,,,,0.3,25,0.3,0.3,0.0184,0.446,0.3144,May,7.2,2001,25,100.6,Average (95-105),3.195,No confluence,False,,,,19,0,0.0,0,0.0,3.18,False,,,,Neutral,2.1624,False,,0.3279,,,,,0.92,91.0,False,Anthony Nunez,BAL,19.3,RP,False,"CH,FC,FF,SI,ST","CH,FC,FF,SI,ST",,0.1672,,,96.1,,,
702070,Noah Cameron,KC,41.0,5.49,5.49,3.91,,5.42,1.58,0.07,0.341,0.654,0.128,0.303,0.068,0.101,,,,,,30184.0,,,0.3409090909090909,5.4201643529411765,41.0,41.0,25.0,3.911641729862677,3.878681525411403,0.6538461538461539,5.49,1.0,False,,0.262,0.374,0.063,0.262,27,0.262,0.262,0.0038,0.307,0.2845,May,154.1,1999,27,103.2,Average (95-105),-1.51,Buy confluence,False,102.0,FC,,8,1,0.125,1,0.125,4.82,True,High variance — signals less reliable,0.0,,Neutral,0.9608,True,,0.2669,,,,,68.0,324,False,Noah Cameron,KC,41.0,SP,True,"CH,CU,FC,FF,SI,SL","SI,SL",,0.1012,,,92.3,,,117
693433,Bryan Woo,SEA,52.7,4.27,4.27,3.44,,2.995,0.83,1.28,0.253,0.591,0.113,0.252,0.044,0.112,,,,,,30279.0,,,0.2534246575342466,2.994551620853079,52.66666666666666,52.66666666666666,25.0,3.437730028720349,3.404769824269075,0.5911330049261083,4.27,1.0,False,,0.2575,0.3788,0.0708,0.2575,26,0.2575,0.2575,-0.0142,0.303,0.2844,May,413.2,2000,26,90.8,Above Avg (80-95),0.445,No confluence,False,88.1,SI,Poor stuff dampens buy x0.85 (sp=88),9,1,0.111,6,0.667,6.49,True,High variance — signals less reliable,0.07,new_pitch +0.07,Slight buy,0.4938,True,Low strand rate,0.2692,0.288,-0.0188,,,98.3,38,False,Bryan Woo,SEA,52.7,SP,False,"CH,FF,SI,SL,ST","CH,SL,ST",,0.1118,0.2873,-0.1755,95.5,95.2,0.3,6
671922,Cade Smith,CLE,21.7,4.15,,1.32,,2.04,2.83,2.11,0.36,,,0.221,0.044,0.174,,,,,,27867.0,,,0.36,2.0397028965517245,21.666666666666668,,,,1.3173306811337298,,4.15,1.0,False,,0.2436,0.3984,0.0615,0.2436,27,0.2436,0.2436,0.0239,0.353,0.2717,May,158.0,1999,27,34.8,Elite (FIP-<80),-0.72,Buy confluence,False,84.3,FF,,21,0,0.0,0,0.0,,False,,0.17,velo_gain +0.05 | rv_improve +0.05 | new_pitch +0.07,Buy low,1.7214,True,,0.3325,0.3473,-0.0148,,,96.32,46,False,Cade Smith,CLE,21.7,RP,False,"FF,FS,ST","FS,ST",,0.1676,0.3131,-0.1455,96.6,96.2,0.4,3
663738,Daniel Lynch,KC,18.3,2.95,0.0,0.06,,-1.454,2.89,4.4,0.25,1.0,0.0,0.184,0.039,0.166,,,,,,21537.0,,,0.2051282051282051,1.5369057671232875,18.33333333333333,2.0,0.0,0.0579831932773107,2.3159320797351284,1.0,2.95,1.0,False,,0.3098,0.436,0.0847,0.3098,30,0.3098,0.3098,-0.0111,0.5,0.2699,May,370.2,1996,30,1.6,Elite (FIP-<80),1.514,No confluence,False,,,,18,0,0.0,0,0.0,,False,,,,Neutral,1.7223,True,,0.3322,0.2676,0.0646,,,4.0,,False,Daniel Lynch,KC,18.3,RP,False,"CH,FF,KC,SI,SL","CH,FF,KC,SI,SL",,0.1661,,,94.2,,,
622491,Luis Castillo,SEA,42.7,7.17,7.17,4.58,,5.721,2.59,1.45,0.351,0.569,0.184,0.295,0.056,0.109,,,,,,15689.0,,,0.3511450381679389,5.721216287128712,42.66666666666666,42.66666666666666,34.0,4.581420693277311,4.548460488826038,0.5693950177935942,7.17,1.0,False,,0.277,0.4223,0.0894,0.277,34,0.2825,0.2825,0.0021,0.353,0.2558,May,1423.2,1992,34,120.9,Poor (FIP->115),-1.141,Buy confluence,False,98.9,SI,,9,2,0.222,0,0.0,5.44,True,High variance — signals less reliable,0.0,,Neutral,1.5648,False,,0.2532,0.2975,-0.0443,,,65.0,215,False,Luis Castillo,SEA,42.7,SP,False,"CH,FC,FF,PO,SI,SL","CH,FC,PO",,0.109,0.298,-0.189,95.0,96.0,-1.0,94
