pitcher,game_pk,start_ip,start_ra,start_era,qualifying,is_qs,is_disaster
573204,824689,0.0,1.0,,False,False,False
573204,824690,0.6666666666666666,0.0,0.0,False,False,False
573204,824691,1.0,0.0,0.0,False,False,False
573204,824694,1.0,0.0,0.0,False,False,False
573204,824695,0.6666666666666666,2.0,27.0,False,False,False
573204,824697,1.0,1.0,9.0,False,False,False
573204,824698,1.0,0.0,0.0,False,False,False
573204,824701,1.0,0.0,0.0,False,False,False
579328,823563,3.3333333333333335,4.0,10.8,True,False,True
579328,824049,5.666666666666667,0.0,0.0,True,False,False
579328,824051,5.0,4.0,7.2,True,False,False
579328,824124,5.0,5.0,9.0,True,False,False
579328,824216,4.333333333333333,2.0,4.15,True,False,False
579328,824698,5.333333333333333,5.0,8.44,True,False,False
592094,823311,1.3333333333333333,0.0,0.0,False,False,False
592094,823313,1.0,0.0,0.0,False,False,False
592094,823315,1.0,0.0,0.0,False,False,False
592094,823316,0.3333333333333333,0.0,0.0,False,False,False
592094,823318,0.3333333333333333,0.0,0.0,False,False,False
592094,824049,1.0,1.0,9.0,False,False,False
592094,824369,1.0,0.0,0.0,False,False,False
592094,825093,1.0,0.0,0.0,False,False,False
592332,822826,6.333333333333333,2.0,2.84,True,True,False
592332,822831,5.666666666666667,3.0,4.76,True,False,False
592332,822835,6.0,0.0,0.0,True,True,False
592332,822839,6.0,1.0,1.5,True,True,False
592332,823802,5.0,3.0,5.4,True,False,False
592332,825100,6.0,2.0,3.0,True,True,False
592662,822750,6.0,3.0,4.5,True,True,False
592662,823229,5.0,1.0,1.8,True,False,False
592662,823235,6.666666666666667,0.0,0.0,True,True,False
592662,823242,5.333333333333333,2.0,3.38,True,False,False
592662,823243,5.333333333333333,2.0,3.38,True,False,False
592662,824531,4.666666666666667,2.0,3.86,True,False,False
592773,822755,0.6666666666666666,3.0,40.5,False,False,False
592773,823068,1.0,0.0,0.0,False,False,False
592773,823070,0.6666666666666666,0.0,0.0,False,False,False
592773,823072,0.6666666666666666,3.0,40.5,False,False,False
592773,823076,1.0,0.0,0.0,False,False,False
592773,823077,1.0,0.0,0.0,False,False,False
592773,823078,0.6666666666666666,0.0,0.0,False,False,False
592773,823081,1.0,0.0,0.0,False,False,False
592773,823082,1.3333333333333333,4.0,27.0,False,False,False
592773,823880,0.6666666666666666,2.0,27.0,False,False,False
592773,824205,1.0,0.0,0.0,False,False,False
592773,824207,1.0,1.0,9.0,False,False,False
592773,824296,1.0,0.0,0.0,False,False,False
592791,823002,6.0,4.0,6.0,True,False,False
592791,823962,4.666666666666667,4.0,7.71,True,False,False
592791,824694,5.666666666666667,1.0,1.59,True,False,False
592791,824696,6.0,6.0,9.0,True,False,False
592791,824699,4.666666666666667,0.0,0.0,True,False,False
592826,823960,2.3333333333333335,1.0,3.86,True,False,False
592836,823476,4.0,7.0,15.75,True,False,True
592836,823480,4.666666666666667,2.0,3.86,True,False,False
592836,823484,4.666666666666667,7.0,13.5,True,False,True
592836,824379,4.666666666666667,4.0,7.71,True,False,False
592836,824688,4.0,5.0,11.25,True,False,True
593958,823645,6.0,1.0,1.5,True,True,False
593958,823973,5.0,0.0,0.0,True,False,False
