batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA
665750,Leody Taveras,71,0.349,0.378,0.067,0.156,86.80444444444444,0.78,0.133,0.378,0.297,0.283,0.326,0.155,0.197,0.786,0.373,0.377
665019,Kody Clemens,69,0.243,0.475,0.175,0.3,93.2025,0.866,0.176,0.425,0.292,0.293,0.415,0.087,0.304,0.286,0.299,0.375
807713,Matt Shaw,69,0.354,0.32,0.08,0.12,87.33,0.866,0.167,0.34,0.38,0.412,0.235,0.072,0.188,0.385,0.372,0.368
678391,Jorbit Vivas,69,0.327,0.245,0.02,0.061,82.03673469387755,0.953,0.0,0.367,0.281,0.549,0.118,0.087,0.116,0.75,0.354,0.308
642086,Dominic Smith,68,0.346,0.393,0.089,0.214,89.51785714285714,0.901,0.222,0.357,0.436,0.298,0.316,0.029,0.118,0.25,0.4,0.444
663968,Jake Mangum,68,0.362,0.326,0.0,0.065,80.5195652173913,0.791,0.0,0.255,0.504,0.688,0.125,0.074,0.221,0.333,0.312,0.27
680977,Brendan Donovan,67,0.325,0.238,0.024,0.095,82.89285714285714,0.935,0.25,0.452,0.232,0.452,0.19,0.134,0.164,0.818,0.391,0.375
687401,Joey Ortiz,67,0.209,0.349,0.023,0.07,87.0953488372093,0.923,0.0,0.233,0.312,0.622,0.133,0.104,0.224,0.467,0.213,0.238
666126,Carlos Cortes,67,0.358,0.545,0.164,0.273,92.01818181818182,0.895,0.364,0.386,0.237,0.474,0.193,0.09,0.06,1.5,0.474,0.492
643376,Danny Jansen,66,0.306,0.27,0.054,0.135,86.05675675675676,0.822,0.2,0.486,0.237,0.378,0.135,0.076,0.348,0.217,0.265,0.24
691594,Javier Sanoja,66,0.358,0.34,0.019,0.075,87.91698113207548,0.932,0.0,0.434,0.387,0.509,0.189,0.091,0.106,0.857,0.352,0.272
694208,Moisés Ballesteros,65,0.432,0.571,0.122,0.265,92.4795918367347,0.895,0.357,0.327,0.356,0.408,0.286,0.077,0.169,0.455,0.512,0.452
670764,Taylor Walls,65,0.297,0.216,0.0,0.0,80.22432432432433,0.87,0.0,0.297,0.238,0.488,0.268,0.077,0.277,0.278,0.262,0.251
686527,Dominic Canzone,64,0.318,0.444,0.133,0.2,94.23777777777778,0.861,0.062,0.289,0.328,0.267,0.356,0.078,0.203,0.385,0.327,0.373
678554,Curtis Mead,64,0.163,0.435,0.087,0.087,88.44782608695652,0.933,0.25,0.5,0.279,0.457,0.261,0.109,0.172,0.636,0.299,0.339
680779,Henry Davis,64,0.209,0.349,0.047,0.093,88.56046511627906,0.888,0.0,0.488,0.288,0.409,0.273,0.094,0.188,0.5,0.228,0.239
678489,Jorge Barrosa,64,0.306,0.216,0.081,0.135,80.5945945945946,0.922,0.111,0.432,0.336,0.513,0.231,0.047,0.328,0.143,0.285,0.238
609280,Miguel Andújar,64,0.417,0.458,0.021,0.104,89.7375,0.914,0.0,0.438,0.363,0.5,0.167,0.031,0.203,0.154,0.372,0.283
657041,Lane Thomas,64,0.268,0.357,0.024,0.095,84.28809523809524,0.864,0.071,0.357,0.228,0.238,0.333,0.172,0.172,1.0,0.312,0.329
688363,Graham Pauley,64,0.286,0.209,0.047,0.116,84.51627906976744,0.855,0.071,0.488,0.241,0.432,0.318,0.047,0.266,0.176,0.294,0.235
671976,Tristan Peters,63,0.357,0.262,0.048,0.119,80.83571428571429,0.793,0.0,0.595,0.374,0.395,0.256,0.063,0.254,0.25,0.279,0.278
642708,Amed Rosario,63,0.25,0.396,0.125,0.167,90.86458333333333,0.838,0.308,0.326,0.391,0.438,0.271,0.063,0.175,0.364,0.345,0.389
543807,George Springer,62,0.211,0.425,0.1,0.175,88.925,0.897,0.167,0.45,0.244,0.4,0.3,0.129,0.226,0.571,0.323,0.318
666310,Bo Naylor,62,0.171,0.429,0.095,0.19,89.46190476190476,0.935,0.071,0.405,0.226,0.333,0.333,0.081,0.242,0.333,0.196,0.314
694388,Joey Loperfido,62,0.389,0.333,0.056,0.139,88.78888888888889,0.747,0.0,0.361,0.316,0.667,0.139,0.097,0.306,0.316,0.305,0.27
668904,Royce Lewis,62,0.258,0.441,0.118,0.206,88.54705882352941,0.866,0.3,0.412,0.295,0.353,0.294,0.129,0.323,0.4,0.344,0.351
677942,Blaze Alexander,62,0.25,0.5,0.0,0.083,92.13888888888889,0.734,0.0,0.306,0.336,0.486,0.189,0.065,0.306,0.211,0.222,0.309
663837,Matt Vierling,61,0.222,0.422,0.022,0.178,88.58444444444444,0.931,0.1,0.37,0.271,0.391,0.217,0.098,0.148,0.667,0.278,0.319
664983,Jake Mccarthy,61,0.333,0.238,0.048,0.19,81.38571428571429,0.816,0.0,0.333,0.317,0.511,0.156,0.066,0.18,0.364,0.329,0.303
672820,Lenyn Sosa,61,0.271,0.354,0.042,0.104,89.28958333333333,0.894,0.0,0.354,0.468,0.306,0.286,0.0,0.197,0.0,0.224,0.245
677592,Everson Pereira,61,0.342,0.415,0.098,0.22,87.21463414634147,0.827,0.375,0.366,0.374,0.488,0.195,0.066,0.246,0.267,0.37,0.355
681297,Colton Cowser,60,0.324,0.471,0.118,0.147,86.21764705882353,0.712,0.0,0.412,0.281,0.6,0.2,0.1,0.317,0.316,0.25,0.288
677649,Ezequiel Duran,60,0.326,0.395,0.047,0.093,89.84186046511627,0.91,0.125,0.273,0.319,0.5,0.182,0.083,0.183,0.455,0.325,0.292
672016,Denzel Clarke,60,0.31,0.536,0.036,0.036,91.89642857142857,0.789,0.0,0.379,0.29,0.75,0.062,0.067,0.4,0.167,0.197,0.205
665966,Carlos Narváez,60,0.308,0.512,0.098,0.146,91.43170731707316,0.878,0.167,0.268,0.361,0.415,0.293,0.033,0.283,0.118,0.297,0.295
602104,Ramón Urías,59,0.184,0.4,0.1,0.15,90.5175,0.855,0.143,0.3,0.247,0.4,0.35,0.085,0.186,0.455,0.303,0.318
676356,Jonny Deluca,59,0.302,0.311,0.067,0.156,84.53111111111112,0.851,0.25,0.378,0.346,0.378,0.178,0.051,0.186,0.273,0.331,0.323
641584,Jake Fraley,58,0.278,0.263,0.105,0.158,87.26578947368421,0.929,0.154,0.395,0.205,0.211,0.342,0.103,0.241,0.429,0.327,0.326
663697,Jonathan India,58,0.182,0.314,0.057,0.086,85.66,0.819,0.182,0.4,0.179,0.286,0.314,0.138,0.224,0.615,0.304,0.313
686780,Pedro Pagés,58,0.27,0.375,0.1,0.175,86.995,0.863,0.214,0.5,0.398,0.439,0.341,0.052,0.207,0.25,0.334,0.35
687597,Jordan Beck,57,0.175,0.293,0.024,0.049,84.72439024390243,0.829,0.083,0.317,0.405,0.488,0.293,0.07,0.211,0.333,0.223,0.271
695336,Thomas Saggese,57,0.265,0.353,0.029,0.176,89.49117647058823,0.775,0.0,0.382,0.347,0.5,0.235,0.07,0.333,0.211,0.204,0.215
671289,Tyler Freeman,57,0.317,0.317,0.0,0.098,86.74634146341464,0.912,0.0,0.293,0.343,0.545,0.182,0.035,0.123,0.286,0.296,0.321
592663,J. t. Realmuto,57,0.31,0.395,0.023,0.163,88.42093023255813,0.831,0.071,0.465,0.328,0.419,0.326,0.088,0.14,0.625,0.342,0.328
682877,Juan Brito,56,0.265,0.324,0.029,0.176,84.27352941176471,0.814,0.0,0.471,0.352,0.441,0.147,0.071,0.304,0.235,0.232,0.254
624428,Adam Frazier,56,0.414,0.233,0.033,0.067,84.01333333333334,0.885,0.143,0.533,0.353,0.562,0.219,0.107,0.304,0.353,0.354,0.274
593871,Jorge Polanco,56,0.19,0.326,0.023,0.14,87.93023255813954,0.902,0.1,0.535,0.342,0.372,0.233,0.054,0.179,0.3,0.221,0.28
664770,Nathan Lukes,56,0.283,0.37,0.0,0.152,86.94347826086957,0.88,0.0,0.391,0.44,0.457,0.217,0.018,0.125,0.143,0.288,0.28
807799,Masataka Yoshida,56,0.3,0.425,0.0,0.075,89.8225,0.92,0.0,0.475,0.226,0.6,0.15,0.161,0.107,1.5,0.353,0.3
665804,Miguel Amaya,55,0.281,0.206,0.059,0.118,84.55882352941177,0.787,0.2,0.294,0.262,0.382,0.294,0.109,0.236,0.462,0.345,0.309
676914,Davis Schneider,55,0.2,0.423,0.154,0.154,88.47307692307693,0.787,0.111,0.385,0.185,0.423,0.346,0.2,0.327,0.611,0.271,0.322
666023,Freddy Fermin,54,0.235,0.382,0.0,0.088,86.92941176470588,0.891,0.0,0.471,0.328,0.412,0.265,0.111,0.222,0.5,0.29,0.278
808975,Hyeseong Kim,54,0.412,0.2,0.057,0.171,85.98571428571428,0.955,0.111,0.257,0.314,0.4,0.257,0.111,0.241,0.462,0.361,0.351
656484,Tristan Gray,54,0.393,0.419,0.129,0.226,89.42258064516129,0.805,0.5,0.516,0.412,0.344,0.188,0.056,0.333,0.167,0.356,0.356
686894,Joey Wiemer,54,0.458,0.4,0.08,0.12,87.28,0.889,0.4,0.308,0.283,0.538,0.192,0.13,0.389,0.333,0.374,0.303
667670,Brent Rooker,54,0.154,0.429,0.179,0.179,89.27142857142857,0.709,0.222,0.464,0.307,0.464,0.321,0.13,0.352,0.368,0.265,0.315
592206,Nick Castellanos,54,0.229,0.343,0.057,0.171,87.51142857142857,0.808,0.0,0.571,0.447,0.314,0.314,0.056,0.296,0.188,0.203,0.268
686452,Drew Millas,53,0.206,0.206,0.029,0.059,77.81176470588235,0.946,0.0,0.324,0.296,0.486,0.143,0.075,0.245,0.308,0.215,0.261
668939,Adley Rutschman,52,0.324,0.45,0.075,0.125,88.4275,0.922,0.231,0.375,0.253,0.35,0.325,0.096,0.135,0.714,0.424,0.37
664056,Harrison Bader,52,0.147,0.4,0.086,0.114,87.60285714285715,0.81,0.143,0.457,0.387,0.6,0.2,0.038,0.288,0.133,0.159,0.28
543877,Christian Vázquez,51,0.343,0.27,0.027,0.054,86.13513513513513,0.909,0.222,0.486,0.306,0.474,0.237,0.098,0.157,0.625,0.39,0.337
592885,Christian Yelich,51,0.406,0.364,0.061,0.0,87.0939393939394,0.85,0.2,0.515,0.263,0.758,0.152,0.078,0.275,0.286,0.353,0.28
677588,José Tena,50,0.387,0.406,0.031,0.156,89.796875,0.75,0.125,0.25,0.342,0.406,0.25,0.04,0.3,0.133,0.305,0.272
665742,Juan Soto,50,0.333,0.455,0.152,0.242,90.16969696969697,0.897,0.143,0.382,0.243,0.382,0.206,0.16,0.16,1.0,0.358,0.445
694728,Brice Matthews,50,0.217,0.333,0.083,0.167,85.83333333333333,0.753,0.2,0.583,0.216,0.44,0.2,0.1,0.4,0.25,0.243,0.246
660688,Keibert Ruiz,49,0.2,0.415,0.049,0.146,88.82195121951219,0.925,0.062,0.537,0.325,0.415,0.39,0.02,0.122,0.167,0.245,0.247
680700,Richie Palacios,49,0.29,0.344,0.062,0.125,86.878125,0.918,0.143,0.375,0.2,0.375,0.219,0.163,0.122,1.333,0.37,0.429
663993,Nathaniel Lowe,48,0.226,0.545,0.121,0.212,91.57575757575758,0.889,0.444,0.486,0.255,0.4,0.257,0.104,0.167,0.625,0.411,0.486
623168,Tyler Heineman,47,0.267,0.172,0.0,0.034,83.23793103448276,0.857,0.0,0.467,0.466,0.606,0.152,0.021,0.255,0.083,0.196,0.221
686681,Michael Massey,47,0.303,0.471,0.088,0.235,89.96764705882353,0.789,0.067,0.441,0.347,0.265,0.441,0.043,0.234,0.182,0.301,0.279
665161,Jeremy Peña,46,0.297,0.297,0.027,0.081,86.0891891891892,0.892,0.0,0.378,0.311,0.351,0.351,0.065,0.13,0.5,0.311,0.36
656716,Zach Mckinstry,46,0.25,0.242,0.03,0.061,85.76969696969697,0.947,0.125,0.576,0.262,0.485,0.242,0.065,0.217,0.3,0.261,0.264
667472,Dane Myers,46,0.333,0.346,0.154,0.231,88.55000000000001,0.9,0.1,0.107,0.137,0.357,0.357,0.174,0.196,0.889,0.376,0.488
543309,Kyle Higashioka,45,0.269,0.407,0.148,0.148,88.98148148148148,0.78,0.111,0.346,0.277,0.333,0.333,0.111,0.289,0.385,0.29,0.304
655316,Andruw Monasterio,45,0.281,0.485,0.091,0.212,89.39999999999999,0.909,0.1,0.333,0.27,0.364,0.303,0.089,0.178,0.5,0.318,0.35
687221,Dalton Rushing,45,0.381,0.571,0.179,0.286,92.29642857142858,0.827,0.583,0.429,0.256,0.214,0.429,0.089,0.244,0.364,0.58,0.579
621438,Tyrone Taylor,45,0.219,0.265,0.059,0.176,87.04117647058824,0.857,0.154,0.324,0.375,0.389,0.361,0.022,0.178,0.125,0.281,0.309
694374,Tim Tawa,45,0.133,0.333,0.033,0.133,86.82333333333332,0.85,0.167,0.387,0.307,0.531,0.188,0.111,0.178,0.625,0.242,0.302
664702,Myles Straw,45,0.306,0.297,0.054,0.162,87.76756756756757,0.957,0.083,0.405,0.217,0.421,0.316,0.067,0.089,0.75,0.347,0.392
681807,David Fry,44,0.35,0.381,0.095,0.19,88.21428571428571,0.75,0.111,0.429,0.233,0.238,0.429,0.182,0.341,0.533,0.324,0.321
