Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Juan Archbold,,0.028200001,0.091799997,0.021299999,7.205220222,0.263700008,0.1567,0,0,,1,4.923999786,1.207399964,0.844399989,0.800580025,0.188111112,0.790400028,0.0061,0.054499999,0.467700005,4.209300041,7.113600254,0.591725693,1.693000004,0.094983758,0.160519915,-0.065536157,0.295996675,1.997799993,0.297751361,0.664996802,0.39801354,,7.2112243,-0.02085618,,,,,,,,,0.347693349,0.347693349,0.955255479,0.955255479,,,,,,,,,,,,,,,,,,,Juan Archbold,sa3021543,808664
Christian Ciuffetelli,,0.039999999,0.057799999,0,6.027570069,1,0,0,0,,1,4.730000019,1.105200052,0.711399972,0.669730008,0.159555554,0.697399974,0.0273,0.045600001,0.640900016,5.768100142,6.276599765,0.918984858,1.43599999,0.135496832,0.147441854,-0.011945023,0.277200913,1.802600026,0.296761745,0.690973075,0.402988206,,6.187901878,-0.02085717,,,,,,,,,1.616746653,1.616746653,1.978577901,1.978577901,,,,,,,,,,,,,,,,,,,Christian Ciuffetelli,sa3020455,805647
Nathanael Perez Gonzalez,,0.039900001,0.057799999,0,6.027570069,1,0,0,0,,1,4.748000145,1.112900019,0.712800026,0.669730008,0.152888894,0.708999991,0.0274,0.052099999,0.62470001,5.622300088,6.380999923,0.881100166,1.376000047,0.131571186,0.149326026,-0.01775484,0.279139175,1.82190001,0.299133069,0.689800759,0.423011596,,6.187935353,-0.020857541,,,,,,,,,1.592026602,1.592026602,1.978544425,1.978544425,,,,,,,,,,,,,,,,,,,Nathanael Perez Gonzalez,sa3017137,692507
Miguel Alfonseca,,0.039999999,0.057799999,0,6.010560036,1,0,0,0,,1,4.718999863,1.136199951,0.711000025,0.667840004,0.156777784,0.645600021,0.0273,0.060600001,0.567300022,5.105700195,5.810400188,0.878717477,1.411000058,0.120216156,0.136808654,-0.016592499,0.283143938,1.781799972,0.297812389,0.685394839,0.42599593,,6.188590997,-0.020864794,,,,,,,,,1.533513357,1.533513357,1.977888782,1.977888782,,,,,,,,,,,,,,,,,,,Miguel Alfonseca,sa3009753,684957
Chase Hopewell,,0.039999999,0.057799999,0,6.023429811,1,0,0,0,,1,4.736999989,1.116000056,0.712100029,0.669269979,0.15533334,0.699999988,0.0274,0.0451,0.615999997,5.54399997,6.299999893,0.88000001,1.398000062,0.130040109,0.14777285,-0.01773274,0.279566135,1.816000044,0.298291207,0.690570518,0.41900154,,6.189113171,-0.020870572,,,,,,,,,1.584499799,1.584499799,1.977366608,1.977366608,,,,,,,,,,,,,,,,,,,Chase Hopewell,sa3023252,803045
Trevor McDonald,SFG,1.850000024,1.869099975,0,3.867101218,38,0,0,0.637899995,,38,162.7409973,37.99980164,17.90660095,16.3277607,3.795777798,12.05360031,0.936699986,2.27670002,30.56909943,7.240049864,2.854800074,2.536096987,0.899000005,0.187838958,0.074066157,0.113772801,0.256044897,1.317194788,0.299914753,0.718535865,0.511022437,,3.987474871,-0.020873993,,,,,,,,,156.4113467,4.11608807,161.3537865,4.246152275,6.7,5.55,4.84,4.31,3.87,3.47,3.09,2.7,2.24,5,4.71,4.51,4.35,4.2,4.06,3.91,3.75,3.53,Trevor McDonald,26448,686790
Javier Ramos,,0.039999999,0.057799999,0,6.01218009,1,0,0,0,,1,4.755000114,1.097300053,0.710699975,0.66802001,0.152333334,0.728900015,0.0275,0.053399999,0.652100027,5.868900239,6.560100138,0.89463577,1.371000007,0.137139855,0.153291272,-0.016151417,0.27621014,1.826200068,0.298259836,0.691597119,0.418009538,,6.18951311,-0.020874996,,,,,,,,,1.630619865,1.630619865,1.976966668,1.976966668,,,,,,,,,,,,,,,,,,,Javier Ramos,sa3020467,681221
Nick Bitsko,TBR,0.035500001,0.077699997,0.022500001,6.525810242,0.484600008,0.1096,0,0,,1,4.787000179,1.16170001,0.768400013,0.725090027,0.178666666,0.703700006,0.0125,0.0495,0.567399979,5.106599808,6.333300054,0.80630947,1.607999995,0.118529341,0.147002294,-0.028472952,0.287991462,1.865400016,0.29900031,0.679144821,0.415172382,,6.613946498,-0.020877347,,,,,,,,,1.05717992,1.05717992,1.55253328,1.55253328,,,,,,,,,,,,,,,,,,,Nick Bitsko,sa3014476,691767
Ismael Michel,KCR,0.039900001,0.0579,0,6.189570129,1,0,0,0,,1,4.777999878,1.107800007,0.729300022,0.687730014,0.150444448,0.744099975,0.0276,0.0517,0.652400017,5.871600151,6.696899772,0.876763928,1.354000032,0.136542493,0.155734616,-0.019192122,0.278187945,1.851899981,0.301116241,0.683979269,0.395045753,,6.204857492,-0.020879117,,,,,,,,,1.586653382,1.586653382,1.961622287,1.961622287,,,,,,,,,,,,,,,,,,,Ismael Michel,sa3016270,699330
Connery Peters,CHW,0.036800001,0.060899999,0,6.154380083,1,0,0,0,,1,4.760000229,1.112900019,0.726400018,0.683820009,0.167999998,0.720700026,0.0275,0.056299999,0.624599993,5.621399939,6.48630023,0.866657376,1.51199998,0.13121848,0.151407561,-0.020189081,0.279412494,1.833600044,0.296169746,0.692692689,0.41766081,,6.432279837,-0.020879869,,,,,,,,,1.358259891,1.358259891,1.734199941,1.734199941,,,,,,,,,,,,,,,,,,,Connery Peters,sa3023030,681553
Tom Reisinger,OAK,0.035,0.077799998,0.0221,6.441839933,0.497000009,0.107000001,0,0,,1,4.731999874,1.170099974,0.757700026,0.715759993,0.184111118,0.63349998,0.0127,0.0524,0.513899982,4.625099838,5.70149982,0.811207574,1.657000065,0.108601013,0.133875739,-0.025274726,0.289192063,1.803599954,0.294493043,0.676588107,0.39706675,,6.589824294,-0.020893108,,,,,,,,,1.063273336,1.063273336,1.576655485,1.576655485,,,,,,,,,,,,,,,,,,,Tom Reisinger,sa3022958,815291
Olmandi Diaz,,0.031099999,0.086300001,0.022500001,7.002450049,0.349400014,0.138400003,0,0,,1,4.860000134,1.226600051,0.822000027,0.778050005,0.187000006,0.711499989,0.0087,0.048700001,0.427399993,3.846599936,6.403499901,0.60070274,1.683000058,0.087942383,0.146399171,-0.058456788,0.299185328,1.93810004,0.298272796,0.665811605,0.407006246,,7.023279846,-0.020900887,,,,,,,,,0.484939804,0.484939804,1.143199932,1.143199932,,,,,,,,,,,,,,,,,,,Olmandi Diaz,sa3016484,692822
Luis Almonte,,0.039999999,0.057700001,0,6.026579797,1,0,0,0,,1,4.725999832,1.085800052,0.709900022,0.669619977,0.164444447,0.704400003,0.0273,0.045600001,0.681100011,6.129900098,6.339600027,0.966922215,1.480000019,0.144117654,0.149047826,-0.004930172,0.273088556,1.790200055,0.294319994,0.692509863,0.380998723,,6.192057573,-0.020903147,,,,,,,,,1.666453183,1.666453183,1.974422205,1.974422205,,,,,,,,,,,,,,,,,,,Luis Almonte,sa3009525,685769
Danny Cody,,0.039900001,0.057799999,0,6.045840204,1,0,0,0,,1,4.723999977,1.120100021,0.71359998,0.671760023,0.160999998,0.670400023,0.0273,0.0506,0.615100026,5.535900235,6.033600211,0.91751194,1.448999986,0.130207457,0.141913638,-0.011706181,0.279815147,1.790500045,0.297220256,0.688071071,0.405986571,,6.192279775,-0.020905605,,,,,,,,,1.574639946,1.574639946,1.974200003,1.974200003,,,,,,,,,,,,,,,,,,,Danny Cody,sa3010662,686653
Adonis Villavicencio,TEX,0.0405,0.057300001,0,6.043500245,1,0,0,0,,1,4.762000084,1.087900043,0.713199973,0.671500027,0.160666659,0.729700029,0.0275,0.0559,0.699899971,6.299099743,6.56730026,0.959161222,1.445999935,0.146976052,0.153233939,-0.006257887,0.273589183,1.817600071,0.297587598,0.693428239,0.405397197,,6.212146495,-0.020950315,,,,,,,,,1.638259834,1.638259834,1.954333283,1.954333283,,,,,,,,,,,,,,,,,,,Adonis Villavicencio,sa3019070,800536
Kelvin LaRoche,,0.039900001,0.0579,0,6.053849816,1,0,0,0,,1,4.728000164,1.127599955,0.714999974,0.67264998,0.159111112,0.669200003,0.0273,0.051800001,0.600499988,5.404499888,6.022800028,0.897340085,1.432000011,0.127009299,0.141539759,-0.01453046,0.281407514,1.796799958,0.29823616,0.687274122,0.414000002,,6.196924277,-0.020956985,,,,,,,,,1.549173398,1.549173398,1.969555501,1.969555501,,,,,,,,,,,,,,,,,,,Kelvin LaRoche,sa3010795,683388
Mark McLaughlin,CHW,0.036800001,0.060899999,0,6.143129826,1,0,0,0,,1,4.763999939,1.133999944,0.726999998,0.682569981,0.161888883,0.7227,0.0275,0.047899999,0.571500003,5.14350003,6.504299998,0.790784563,1.456999943,0.119962219,0.151700254,-0.031738035,0.283968538,1.856699944,0.298192566,0.69304385,0.441905089,,6.43983524,-0.020961124,,,,,,,,,1.291566902,1.291566902,1.726644538,1.726644538,,,,,,,,,,,,,,,,,,,Mark McLaughlin,sa3020604,687202
Victor Villanueva,,0.039999999,0.057799999,0,6.009480178,1,0,0,0,,1,4.755000114,1.102599978,0.710900009,0.66772002,0.151333332,0.728799999,0.0275,0.0504,0.635599971,5.720399737,6.559199989,0.872118512,1.361999989,0.133669812,0.153270238,-0.019600426,0.27732782,1.831399977,0.298308679,0.691865959,0.423998805,,6.20021315,-0.020993366,,,,,,,,,1.605440017,1.605440017,1.966266628,1.966266628,,,,,,,,,,,,,,,,,,,Victor Villanueva,sa3008137,682743
