player_name,player_name_norm,team,primary_position,all_positions,fp_ros_rank,fp_pos_rank
Matthew Liberatore,matthew liberatore,STL,P,SP,378,SP104
Caleb Thielbar,caleb thielbar,CHC,P,RP,379,RP38
Tomoyuki Sugano,tomoyuki sugano,COL,P,SP,380,SP105
Carlos Estevez,carlos estevez,KC,P,RP,381,RP39
Brad Keller,brad keller,PHI,P,RP,382,RP40
Drew Romo,drew romo,CWS,C,C,383,C26
Jeremiah Estrada,jeremiah estrada,SD,P,RP,384,RP41
J.T. Ginn,j.t. ginn,ATH,P,"SP,RP",385,"SP,RP33"
Jordan Beck,jordan beck,COL,OF,"LF,RF",386,OF67
Tatsuya Imai,tatsuya imai,HOU,P,SP,387,SP106
Andrew Painter,andrew painter,PHI,P,SP,388,SP107
Luke Weaver,luke weaver,NYM,P,RP,389,RP42
Patrick Corbin,patrick corbin,TOR,P,SP,390,SP108
Nasim Nunez,nasim nunez,WSH,SS,"2B,SS",391,SS29
Curtis Mead,curtis mead,WSH,3B,"1B,2B,3B",392,3B22
Andre Pallante,andre pallante,STL,P,SP,393,SP109
Kyle Teel,kyle teel,CWS,C,C,394,C27
Reynaldo Lopez,reynaldo lopez,ATL,P,SP,395,SP110
Garrett Whitlock,garrett whitlock,BOS,P,RP,396,RP43
Luis Severino,luis severino,ATH,P,SP,397,SP111
Noah Schultz,noah schultz,CWS,P,SP,398,SP112
Paul Goldschmidt,paul goldschmidt,NYY,1B,1B,399,1B31
Aaron Ashby,aaron ashby,MIL,P,RP,400,RP44
Coby Mayo,coby mayo,BAL,1B,"1B,3B",401,1B32
Gary Sanchez,gary sanchez,MIL,C,"C,1B,DH",402,C28
Kyle Leahy,kyle leahy,STL,P,"SP,RP",403,"SP,RP34"
Logan O'Hoppe,logan o'hoppe,LAA,C,C,404,C29
Chad Patrick,chad patrick,MIL,P,SP,405,SP113
Tyler Mahle,tyler mahle,SF,P,SP,406,SP114
Jordan Westburg,jordan westburg,BAL,2B,"2B,3B",407,2B28
Luke Raley,luke raley,SEA,OF,"1B,LF,CF,RF",408,OF68
Sean Murphy,sean murphy,ATL,C,C,409,C30
Christian Scott,christian scott,NYM,P,SP,410,SP115
Dominic Canzone,dominic canzone,SEA,OF,"LF,RF,DH",411,OF69
Carlos Narvaez,carlos narvaez,BOS,C,C,412,C31
Marcelo Mayer,marcelo mayer,BOS,2B,"2B,3B",413,2B29
Gus Varland,gus varland,WSH,P,RP,414,RP45
Edgar Quero,edgar quero,CWS,C,"C,DH",415,C32
Nick Gonzales,nick gonzales,PIT,2B,"2B,3B,SS",416,2B30
Danny Jansen,danny jansen,TEX,C,C,417,C33
Jose A. Ferrer,jose a. ferrer,SEA,P,RP,418,RP46
Miguel Amaya,miguel amaya,CHC,C,"C,DH",419,C34
Nick Loftin,nick loftin,KC,2B,"2B,3B,LF",420,2B31
Freddy Fermin,freddy fermin,SD,C,C,421,C35
Erick Fedde,erick fedde,CWS,P,"SP,RP",422,"SP,RP35"
Bo Naylor,bo naylor,CLE,C,C,423,C36
Austin Martin,austin martin,MIN,2B,"2B,LF,CF,RF",424,2B32
Harry Ford,harry ford,WSH,C,C,425,C37
Keibert Ruiz,keibert ruiz,WSH,C,C,426,C38
Dean Kremer,dean kremer,BAL,P,SP,427,SP116
Justin Steele,justin steele,CHC,P,SP,428,SP117
Vaughn Grissom,vaughn grissom,LAA,2B,"2B,CI",429,2B33
Adrian Del Castillo,adrian del castillo,ARI,C,"C,DH",430,C39
Walker Buehler,walker buehler,SD,P,SP,431,SP118
Luis Campusano,luis campusano,SD,C,"C,DH",432,C40
Garrett Cleavinger,garrett cleavinger,TB,P,RP,433,RP47
