name,team,fpts,GP,R,HR,RBI,AVG,SB,year
Xavier Edwards,MIA,242.0,70,39.0,1.0,26.0,0.328,31.0,2024
Spencer Horwitz,PIT,242.0,97,46.0,12.0,40.0,0.265,,2024
Willson Contreras,BOS,241.0,84,48.0,15.0,36.0,0.262,4.0,2024
MJ Melendez,NYM,238.5,135,44.0,17.0,44.0,0.206,4.0,2024
Wenceel Perez,DET,237.0,112,51.0,9.0,37.0,0.242,9.0,2024
Gavin Sheets,SD,237.0,139,35.0,10.0,45.0,0.233,2.0,2024
Starling Marte,KC,236.5,94,46.0,7.0,40.0,0.269,16.0,2024
David Hamilton,MIL,236.0,98,47.0,8.0,28.0,0.248,33.0,2024
Kerry Carpenter,DET,235.5,87,37.0,18.0,57.0,0.284,,2024
J.P. Crawford,SEA,235.0,105,55.0,9.0,37.0,0.202,5.0,2024
Rowdy Tellez,ATL,234.5,132,38.0,13.0,56.0,0.243,1.0,2024
Jarred Kelenic,CHW,234.5,131,49.0,15.0,45.0,0.231,7.0,2024
Jake Fraley,TB,234.0,116,44.0,5.0,26.0,0.277,20.0,2024
Max Schuemann,NYY,232.5,133,55.0,7.0,34.0,0.22,14.0,2024
TJ Friedl,CIN,232.0,85,35.0,13.0,55.0,0.226,9.0,2024
Josh Rojas,CHW,232.0,143,48.0,8.0,31.0,0.225,10.0,2024
Mauricio Dubon,ATL,231.5,137,45.0,4.0,47.0,0.269,3.0,2024
Michael Massey,KC,231.0,100,45.0,14.0,45.0,0.259,1.0,2024
Luis Robert,NYM,230.5,100,47.0,14.0,35.0,0.224,23.0,2024
Gio Urshela,MIN,230.0,128,34.0,9.0,52.0,0.25,,2024
LaMonte Wade,CHW,229.0,117,45.0,8.0,34.0,0.26,2.0,2024
Joshua Lowe,LAA,228.5,106,37.0,10.0,34.0,0.241,25.0,2024
Luis Rengifo,MIL,228.0,78,41.0,6.0,30.0,0.3,24.0,2024
Brayan Rocchio,CLE,228.0,143,50.0,8.0,36.0,0.206,10.0,2024
Nick Gonzales,PIT,227.0,94,42.0,7.0,49.0,0.27,5.0,2024
Miguel Rojas,LAD,226.0,103,41.0,6.0,36.0,0.283,8.0,2024
Max Muncy,LAD,225.5,73,47.0,15.0,48.0,0.232,1.0,2024
Patrick Bailey,SF,225.0,121,46.0,8.0,46.0,0.234,4.0,2024
Santiago Espinal,LAD,224.0,118,32.0,9.0,45.0,0.246,11.0,2024
Jorge Polanco,NYM,223.5,118,43.0,16.0,45.0,0.213,4.0,2024
Tyler Freeman,COL,222.5,118,48.0,7.0,32.0,0.209,11.0,2024
Gabriel Moreno,ARI,222.0,97,39.0,5.0,45.0,0.266,3.0,2024
Davis Schneider,TOR,222.0,135,48.0,13.0,46.0,0.191,6.0,2024
Jared Triolo,PIT,214.0,125,41.0,9.0,46.0,0.216,8.0,2024
Alejandro Kirk,TOR,210.5,103,23.0,5.0,54.0,0.253,,2024
Royce Lewis,MIN,210.0,82,40.0,16.0,47.0,0.233,,2024
Travis d'Arnaud,LAA,209.5,99,40.0,15.0,48.0,0.238,1.0,2024
Enrique Hernandez,LAD,209.5,126,44.0,12.0,42.0,0.229,,2024
Nolan Gorman,STL,208.5,107,42.0,19.0,50.0,0.203,6.0,2024
Jake Bauers,MIL,207.0,117,45.0,12.0,43.0,0.199,13.0,2024
Mitch Garver,SEA,206.5,114,37.0,15.0,51.0,0.172,,2024
Richard Palacios,TB,204.5,92,46.0,5.0,21.0,0.223,19.0,2024
Francisco Alvarez,NYM,200.0,100,39.0,11.0,47.0,0.237,1.0,2024
Jose Iglesias,SD,196.5,85,39.0,4.0,26.0,0.337,6.0,2024
Freddy Fermin,SD,196.0,111,40.0,6.0,36.0,0.271,2.0,2024
Spencer Torkelson,DET,194.5,92,45.0,10.0,37.0,0.219,,2024
Thairo Estrada,BAL,194.0,96,43.0,9.0,47.0,0.217,2.0,2024
Whit Merrifield,ATL,194.0,95,44.0,4.0,15.0,0.222,17.0,2024
Ramon Urias,STL,192.5,100,39.0,11.0,37.0,0.254,1.0,2024
Miguel Amaya,CHC,192.0,117,32.0,8.0,47.0,0.232,,2024
Joey Bart,PIT,191.5,80,38.0,13.0,45.0,0.265,,2024
Anthony Rizzo,NYY,189.5,92,38.0,8.0,35.0,0.228,,2024
Nicky Lopez,CHC,188.5,124,40.0,1.0,21.0,0.241,5.0,2024
Oswaldo Cabrera,NYY,188.5,109,47.0,8.0,36.0,0.247,4.0,2024
Amed Rosario,NYY,184.5,103,29.0,3.0,32.0,0.28,13.0,2024
Kevin Newman,LAA,183.0,111,41.0,3.0,28.0,0.278,8.0,2024
Bo Naylor,CLE,181.0,123,39.0,13.0,39.0,0.201,6.0,2024
Jonah Bride,TEX,180.5,71,30.0,11.0,39.0,0.276,,2024
Jacob Stallings,BAL,180.5,82,31.0,9.0,36.0,0.263,,2024
Donovan Solano,TEX,179.5,96,31.0,8.0,35.0,0.286,2.0,2024
Elias Diaz,KC,179.5,96,27.0,6.0,39.0,0.265,,2024
Ke'Bryan Hayes,CIN,178.5,96,38.0,4.0,25.0,0.233,11.0,2024
Zach McKinstry,DET,178.5,118,32.0,4.0,23.0,0.215,16.0,2024
Abraham Toro,BOS,178.0,94,34.0,6.0,26.0,0.24,4.0,2024
Luis Campusano,SD,177.5,91,37.0,8.0,40.0,0.227,,2024
Carson Kelly,CHC,177.5,91,32.0,9.0,37.0,0.238,,2024
Edmundo Sosa,PHI,176.0,90,39.0,7.0,31.0,0.257,7.0,2024
Miguel Andujar,SD,174.0,75,31.0,4.0,30.0,0.285,3.0,2024
Kyle Higashioka,TEX,173.0,84,29.0,17.0,45.0,0.22,2.0,2024
Ivan Herrera,STL,172.5,72,37.0,5.0,27.0,0.301,5.0,2024
Lenyn Sosa,TOR,170.5,100,28.0,8.0,35.0,0.254,3.0,2024
Korey Lee,CHW,169.0,125,36.0,12.0,37.0,0.21,6.0,2024
Danny Jansen,TEX,168.5,92,35.0,9.0,24.0,0.205,,2024
Dominic Smith,ATL,166.0,93,33.0,6.0,34.0,0.233,1.0,2024
Jake Rogers,DET,165.5,102,43.0,10.0,36.0,0.197,1.0,2024
Bo Bichette,NYM,160.0,81,29.0,4.0,31.0,0.225,5.0,2024
Victor Caratini,MIN,158.5,87,30.0,8.0,30.0,0.269,,2024
Gary Sanchez,MIL,157.0,89,30.0,11.0,37.0,0.22,,2024
Ildemaro Vargas,ARI,156.5,97,21.0,1.0,30.0,0.246,9.0,2024
Juan Yepez,TOR,156.0,62,32.0,6.0,26.0,0.283,2.0,2024
Triston Casas,BOS,149.5,63,28.0,13.0,32.0,0.241,,2024
Nick Fortes,TB,148.5,110,28.0,4.0,29.0,0.227,,2024
Joey Meneses,NYM,144.5,76,19.0,3.0,42.0,0.231,2.0,2024
Emmanuel Rivera,BAL,144.5,124,24.0,5.0,29.0,0.238,2.0,2024
Ben Rortvedt,NYM,142.0,112,27.0,3.0,31.0,0.228,1.0,2024
Yasmani Grandal,PIT,142.0,72,26.0,9.0,27.0,0.228,1.0,2024
Pavin Smith,ARI,141.5,60,26.0,9.0,36.0,0.27,1.0,2024
Romy Gonzalez,BOS,140.0,89,25.0,6.0,29.0,0.266,11.0,2024
Adam Frazier,LAA,139.5,104,35.0,4.0,22.0,0.202,3.0,2024
Edouard Julien,COL,139.0,94,36.0,8.0,21.0,0.199,6.0,2024
Christian Vazquez,HOU,136.5,93,29.0,7.0,27.0,0.221,3.0,2024
Javier Baez,DET,136.5,80,25.0,6.0,37.0,0.184,8.0,2024
Jorge Mateo,ATL,136.0,68,30.0,5.0,18.0,0.229,13.0,2024
Vidal Brujan,NYM,133.0,102,32.0,2.0,16.0,0.222,5.0,2024
Jose Trevino,CIN,131.5,74,26.0,8.0,28.0,0.215,1.0,2024
James McCann,ARI,130.0,66,27.0,8.0,31.0,0.234,1.0,2024
Andy Ibanez,ATH,129.5,99,30.0,5.0,32.0,0.241,2.0,2024
Kyle Farmer,ATL,128.5,107,26.0,5.0,25.0,0.214,3.0,2024
Hunter Goodman,COL,128.0,70,24.0,13.0,36.0,0.19,1.0,2024
Brett Wisely,ATL,126.5,91,25.0,4.0,31.0,0.238,2.0,2024
Tyler Nevin,ATH,123.0,87,22.0,7.0,20.0,0.204,1.0,2024
Sean Murphy,ATL,122.5,72,19.0,10.0,25.0,0.193,,2024
Tyler Soderstrom,ATH,121.5,61,18.0,9.0,26.0,0.233,,2024
Taylor Walls,TB,120.5,84,27.0,1.0,14.0,0.183,16.0,2024
Wilmer Flores,SF,119.5,71,19.0,4.0,26.0,0.206,,2024
Nick Senzel,LAD,118.5,74,25.0,7.0,18.0,0.195,1.0,2024
Ezequiel Duran,TEX,116.5,92,26.0,3.0,20.0,0.246,1.0,2024
Joey Gallo,CHW,116.0,76,24.0,10.0,27.0,0.161,3.0,2024
Connor Norby,MIA,116.0,45,32.0,9.0,20.0,0.236,3.0,2024
Chris Taylor,LAA,116.0,87,28.0,4.0,23.0,0.202,5.0,2024
Enmanuel Valdez,PIT,115.5,76,23.0,6.0,28.0,0.214,1.0,2024
Anthony Rendon,LAA,111.5,57,21.0,,14.0,0.218,6.0,2024
Elehuris Montero,COL,111.0,67,23.0,4.0,28.0,0.205,,2024
Brandon Drury,KC,110.5,97,28.0,4.0,15.0,0.169,1.0,2024
Addison Barger,TOR,110.0,69,20.0,7.0,28.0,0.197,2.0,2024
Pedro Pages,STL,110.0,68,19.0,7.0,27.0,0.238,2.0,2024
Tommy Edman,LAD,107.0,37,20.0,6.0,20.0,0.237,6.0,2024
Daniel Schneemann,CLE,104.0,73,17.0,5.0,22.0,0.218,3.0,2024
Cavan Biggio,HOU,103.0,78,27.0,5.0,19.0,0.197,2.0,2024
Josh Jung,TEX,103.0,46,19.0,7.0,16.0,0.264,4.0,2024
Jackson Holliday,BAL,100.5,60,28.0,5.0,23.0,0.189,4.0,2024
Noelvi Marte,CIN,100.5,66,24.0,4.0,18.0,0.21,9.0,2024
Junior Caminero,TB,100.0,43,15.0,6.0,18.0,0.248,2.0,2024
Leonardo Jimenez,MIA,99.5,63,18.0,4.0,19.0,0.229,,2024
DJ LeMahieu,NYY,98.5,67,19.0,2.0,26.0,0.204,,2024
Miguel Vargas,CHW,95.5,72,22.0,5.0,16.0,0.15,3.0,2024
Blaze Alexander,BAL,95.5,61,19.0,3.0,21.0,0.247,3.0,2024
Patrick Wisdom,SEA,95.5,75,16.0,8.0,23.0,0.171,5.0,2024
Brooks Lee,MIN,94.5,50,9.0,3.0,27.0,0.221,3.0,2024
Garrett Hampson,CIN,92.5,113,16.0,,16.0,0.23,7.0,2024
Ben Rice,NYY,92.0,50,20.0,7.0,23.0,0.171,,2024
Trey Lipscomb,WAS,92.0,61,20.0,1.0,10.0,0.2,11.0,2024
Jonathan Aranda,TB,89.0,44,22.0,6.0,14.0,0.234,,2024
Nick Ahmed,TEX,88.5,71,20.0,2.0,17.0,0.229,2.0,2024
Christian Bethancourt,CHC,85.0,62,18.0,5.0,22.0,0.209,3.0,2024
Jose Tena,WAS,83.5,44,14.0,3.0,15.0,0.267,6.0,2024
Matt Thaiss,BOS,82.0,57,14.0,2.0,16.0,0.204,3.0,2024
Angel Martinez,CLE,81.5,43,16.0,3.0,11.0,0.232,3.0,2024
Luis Guillorme,HOU,79.0,79,14.0,,10.0,0.205,4.0,2024
Kody Clemens,MIN,77.5,44,17.0,5.0,18.0,0.219,,2024
Brett Baty,NYM,77.0,50,15.0,4.0,16.0,0.229,,2024
Andres Chaparro,WAS,77.0,33,12.0,4.0,15.0,0.215,1.0,2024
Kyle Manzardo,CLE,76.5,53,11.0,5.0,15.0,0.234,,2024
Nick Loftin,KC,74.0,57,15.0,1.0,14.0,0.189,1.0,2024
Gabriel Arias,CLE,72.5,53,15.0,3.0,15.0,0.222,5.0,2024
Andruw Monasterio,BOS,71.0,59,14.0,1.0,16.0,0.208,6.0,2024
Reese McGuire,CHW,70.5,53,10.0,3.0,18.0,0.209,3.0,2024
Casey Schmitt,SF,70.5,40,11.0,6.0,16.0,0.252,,2024
Luis Torrens,NYM,69.0,48,14.0,3.0,15.0,0.229,,2024
Austin Barnes,NYM,68.0,54,12.0,1.0,11.0,0.264,3.0,2024
Kyle McCann,COL,67.5,54,13.0,5.0,15.0,0.236,,2024
Adrian Del Castillo,ARI,67.0,25,12.0,4.0,19.0,0.313,1.0,2024
Weston Wilson,BAL,66.5,41,13.0,3.0,10.0,0.284,3.0,2024
Danny Mendick,CHW,65.5,47,13.0,3.0,8.0,0.197,6.0,2024
Trey Sweeney,DET,65.0,36,11.0,4.0,17.0,0.218,2.0,2024
J.D. Davis,LAA,62.5,46,13.0,4.0,6.0,0.218,,2024
