player_type,mlbam_id,name,verdict,luck_score,trend_dir,trend_score,trend_score_final,n_layers,recent_pa,prior_pa,l1_gap_delta,l2_cq_score,babip_delta,l4_pd_score,bs_delta_mph,bs_flag,recent_xwoba_gap,prior_xwoba_gap,hh_delta_pp,brl_delta_pp,ev_delta_mph,recent_babip,prior_babip,layer6_modifier,worst_pitch_vulnerability,worst_pitch_delta,vulnerability_severity,approach_change_flag,barrel_supported,ld_delta_pp,fb_delta_pp,barrel_delta_pp,layer6_notes
pitcher,519242,Chris Sale,Sell high,-0.2429,Hot,0.1497,0.1497,5,79,74,0.0770,0.0212,0.0112,0.0290,1.5255,False,-0.0594,0.0176,7.1837,-2.2940,-2.5095,0.2602,0.2490,0.0000,,,n/a,False,True,,,,
hitter,683146,Brett Baty,Slight sell,-0.0887,Hot,0.1464,0.1464,5,69,55,-0.0639,0.1526,0.2254,0.0038,-0.1271,False,-0.0010,0.0629,9.8806,6.8119,4.1360,0.4204,0.1949,0.0000,Cutter,-3.0000,none,False,True,3.6000,-4.3000,0.7000,
hitter,642715,Willy Adames,Sell high,-0.1839,Hot,0.1941,0.1441,5,82,70,-0.0198,0.1572,0.1262,0.0527,0.3771,False,-0.0088,0.0109,17.1514,-2.5099,3.9483,0.3408,0.2146,-0.0500,4-Seam,-4.2000,mild,False,False,6.3000,-8.1000,-3.4000,Mild 4-Seam vulnerability (Δ-4.2/100)
pitcher,657612,Tim Hill,Slight sell,-0.1335,Hot,0.1317,0.1317,5,33,28,-0.0217,0.2443,0.1398,0.0337,-0.0981,False,-0.0453,-0.0671,-15.0433,-4.7619,-7.7413,0.2828,0.1430,0.0000,,,n/a,False,True,,,,
hitter,608369,Corey Seager,Buy low,0.4537,Hot,0.2315,0.1315,5,56,79,0.0802,0.1862,-0.0343,-0.0061,0.6383,False,0.1119,0.0317,16.6817,5.4024,4.3293,0.1429,0.1772,-0.1000,Slider,-7.0000,moderate,False,True,0.5000,-3.4000,1.5000,Moderate Slider vulnerability (Δ-7.0/100)
pitcher,672456,Keider Montero,Sell high,-0.4197,Hot,0.1263,0.1263,5,89,90,0.1347,0.0223,-0.1097,-0.0898,-0.8412,False,-0.0983,0.0364,-2.7171,4.6239,-1.1286,0.1479,0.2576,0.0000,,,n/a,False,True,,,,
hitter,670764,Taylor Walls,Sell high,-0.3052,Hot,0.1237,0.1237,5,61,62,-0.0647,0.0943,0.0380,0.0484,2.4522,False,-0.0869,-0.0222,-6.6555,6.3218,5.4286,0.3390,0.3010,0.0000,Changeup,-3.0000,none,False,False,-4.5000,-3.4000,-1.7000,
hitter,667670,Brent Rooker,Buy low,0.2336,Hot,0.1733,0.1233,5,78,16,-0.1429,0.2686,0.3407,-0.0041,-1.0966,True,0.0183,0.1613,15.5983,15.8120,7.1603,0.3407,0.0000,-0.0500,Changeup,-4.1000,mild,False,True,3.4000,1.5000,1.6000,Mild Changeup vulnerability (Δ-4.1/100)
hitter,624424,Michael Conforto,Slight sell,-0.1333,Hot,0.1230,0.1230,5,38,18,-0.0880,0.1980,-0.1077,0.0453,2.4337,False,-0.0615,0.0265,25.3660,5.2928,2.7666,0.3610,0.4688,0.0000,Changeup,0.6000,none,False,True,,,,
hitter,545121,Ildemaro Vargas,Sell high,-0.2608,Hot,0.1221,0.1221,5,83,69,0.0436,0.0009,-0.0058,0.0394,2.0164,False,-0.0369,-0.0804,-3.7993,-4.2300,1.6291,0.3263,0.3321,0.0000,4-Seam,-1.5000,none,False,True,9.3000,-15.6000,2.0000,
