name,mlbam_id,april_pa,actual_hr,actual_r,actual_rbi,actual_avg,actual_ros_woba,naive_hr,naive_r,naive_rbi,naive_avg,naive_woba,rtm_hr,rtm_r,rtm_rbi,rtm_avg,rtm_woba,model_hr,model_r,model_rbi,model_avg,model_woba,signal_hr,signal_avg,signal_woba,steamer_hr,steamer_r,steamer_rbi,steamer_avg,steamer_woba,zips_hr,zips_r,zips_rbi,zips_avg,zips_woba
Jake Bauers,641343,43.0,7.0,28.0,28.0,0.235,nan,25.2,68.39999999999999,61.199999999999996,0.243,0.35348837209302325,20.4,64.8,58.8,0.247,0.33574418604651163,15.6,55.199999999999996,49.199999999999996,0.207,0.30632,15.6,0.207,0.30632,4.269000053405762,13.276399612426758,13.0871000289917,0.19862801957860177,0.2901459159597489,14.0,40.0,43.0,0.21052631578947367,0.30832772327296304
Jose Trevino,624431,71.0,4.0,30.0,22.0,0.238,nan,15.6,74.39999999999999,68.39999999999999,0.323,0.4042253521126761,16.8,67.2,62.4,0.279,0.361112676056338,12.0,56.4,50.4,0.231,0.29074,12.0,0.231,0.29074,6.755000114440918,24.26449966430664,24.770700454711914,0.24620463371402676,0.30129054873312944,6.0,25.0,30.0,0.23983739837398374,0.2851231167901237
Dylan Moore,664238,78.0,11.0,35.0,25.0,0.201,nan,43.199999999999996,87.6,88.8,0.29,0.39423076923076916,28.799999999999997,73.2,72.0,0.266,0.3561153846153846,19.2,60.0,55.199999999999996,0.221,0.33578,19.2,0.221,0.33578,8.166299819946289,35.758201599121094,30.501399993896484,0.20679662834228318,0.29818552780147173,11.0,46.0,37.0,0.20766773162939298,0.30962632404614804
Mitch Garver,641598,57.0,9.0,29.0,30.0,0.209,nan,9.6,55.199999999999996,40.8,0.217,0.31842105263157894,14.399999999999999,60.0,51.6,0.237,0.3182105263157895,12.0,56.4,46.8,0.22,0.32122,12.0,0.22,0.32122,11.769200325012207,33.236900329589844,34.90169906616211,0.21157684280411596,0.30738432175356817,13.0,36.0,42.0,0.20064724919093851,0.2995496650314864
Kyle Farmer,571657,89.0,8.0,24.0,31.0,0.227,nan,0.0,50.4,42.0,0.25,0.2792134831460674,9.6,56.4,50.4,0.249,0.2986067415730337,12.0,58.8,52.8,0.241,0.28821,12.0,0.241,0.28821,4.689499855041504,20.17140007019043,19.650999069213867,0.2551623440551843,0.30993480846846144,8.0,39.0,42.0,0.2514792899408284,0.3046839791600422
Nick Allen,669397,78.0,nan,32.0,22.0,0.221,0.24453441295546557,0.0,58.8,49.199999999999996,0.292,0.30961538461538457,9.6,60.0,52.8,0.267,0.3138076923076923,6.0,48.0,40.8,0.209,0.25235,6.0,0.209,0.25235,2.5717999935150146,19.361299514770508,16.858600616455078,0.25085748496340826,0.2959867546316816,6.0,54.0,53.0,0.2505643340857788,0.2910892730865635
Trey Sweeney,700242,104.0,6.0,36.0,32.0,0.196,0.26201298701298703,4.8,46.8,34.8,0.198,0.2759615384615385,12.0,55.199999999999996,46.8,0.223,0.2969807692307692,9.6,54.0,44.4,0.219,0.28065,9.6,0.219,0.28065,7.539000034332275,30.701799392700195,31.336299896240234,0.22635079432513047,0.2906300138014201,14.0,68.0,58.0,0.22111553784860558,0.2887326791989718
Ben Williamson,810938,53.0,1.0,36.0,21.0,0.253,0.278305785123967,9.6,58.8,52.8,0.26,0.2943396226415095,15.6,61.199999999999996,56.4,0.252,0.3061698113207547,14.399999999999999,61.199999999999996,55.199999999999996,0.248,0.31452,14.399999999999999,0.248,0.31452,0.14100000262260437,1.0227999687194824,0.9139000177383423,0.22557795674317865,0.2762397997010294,4.0,61.0,54.0,0.23588709677419356,0.2868658275112752
Luis Torrens,620443,65.0,5.0,20.0,29.0,0.226,nan,8.4,57.599999999999994,52.8,0.262,0.32230769230769224,14.399999999999999,61.199999999999996,55.199999999999996,0.254,0.3201538461538461,19.2,62.4,58.8,0.241,0.31778,19.2,0.241,0.31778,5.939899921417236,22.7322998046875,22.303699493408203,0.2288528299004863,0.2906335857346208,8.0,28.0,34.0,0.23904382470119523,0.2980390396985141
David Hamilton,666152,32.0,6.0,27.0,19.0,0.198,nan,16.8,43.199999999999996,40.8,0.15,0.134375,18.0,55.199999999999996,50.4,0.204,0.22618749999999999,12.0,55.199999999999996,49.199999999999996,0.225,0.26974,12.0,0.225,0.26974,3.2597999572753906,17.347299575805664,14.621999740600586,0.2313890724148165,0.2964127714839331,10.0,57.0,46.0,0.22921914357682618,0.29301047039358585
