mlbam_id,xwoba_gap,babip_allowed,pa,year
608337,-0.0059,0.3696,57.0,2022
608344,-0.0162,0.25,113.0,2022
608348,-0.1507,0.3333,3.0,2022
608349,-0.0179,0.2188,36.0,2022
608371,-0.0373,0.1818,13.0,2022
608379,-0.0515,0.1667,78.0,2022
608566,0.0081,0.3103,95.0,2022
608638,-0.0586,0.0,2.0,2022
608648,0.0131,0.3333,28.0,2022
608665,0.0305,0.2571,46.0,2022
608678,0.0674,0.4615,31.0,2022
608716,-0.0903,0.2667,35.0,2022
608717,0.0665,0.3514,34.0,2022
608718,-0.0079,0.2273,26.0,2022
608723,0.0073,0.3714,46.0,2022
612434,-0.0159,0.2174,37.0,2022
613534,-0.0329,0.3333,9.0,2022
614179,-0.0143,0.381,28.0,2022
615698,-0.0846,0.2346,89.0,2022
617228,-0.0031,0.28,28.0,2022
620396,0.0,0.0,,2022
621051,-0.0058,0.1667,39.0,2022
621053,0.0,0.0,,2022
621057,0.0,0.7778,,2022
621074,-0.0396,0.2593,32.0,2022
621079,0.0,0.3333,,2022
621082,0.0101,0.1515,35.0,2022
621098,0.0,0.4,,2022
621107,0.0259,0.3088,80.0,2022
621111,-0.0336,0.2273,96.0,2022
621112,-0.009,0.2812,73.0,2022
621114,0.2472,0.5,6.0,2022
621237,0.0129,0.3333,29.0,2022
621242,0.049,0.125,38.0,2022
621244,-0.0516,0.3229,112.0,2022
621248,-0.0292,0.3,14.0,2022
621249,0.1125,1.0,1.0,2022
621295,0.017,0.3043,30.0,2022
621345,0.0168,0.2941,34.0,2022
621348,-0.0017,0.2,19.0,2022
621363,-0.1098,0.1176,14.0,2022
621366,-0.0141,0.2,6.0,2022
621368,0.0284,0.4062,78.0,2022
621381,0.0205,0.32,31.0,2022
621383,-0.1042,0.1389,45.0,2022
621389,0.023,0.2286,35.0,2022
621433,0.0171,0.25,10.0,2022
621593,0.0885,0.2667,18.0,2022
622065,0.0,0.4286,,2022
622072,-0.0208,0.3553,82.0,2022
622075,0.0,0.3333,,2022
622092,0.0,0.5,,2022
622098,-0.0691,0.1905,36.0,2022
622250,-0.0146,0.1538,18.0,2022
622251,-0.0314,0.3462,40.0,2022
622253,-0.1397,0.2,39.0,2022
622338,0.0,0.5,,2022
622503,-0.0769,0.1786,40.0,2022
622554,-0.0482,0.2857,31.0,2022
622608,0.028,0.4156,85.0,2022
622663,0.0435,0.254,79.0,2022
622694,0.0571,0.2462,89.0,2022
623149,-0.1311,0.0,15.0,2022
623167,-0.046,0.2826,95.0,2022
