name,team,fpts,W,ERA,K,WHIP,SV,year
Jeff Hoffman,TOR,236.5,3,2.17,89,0.96,10.0,2024
Kyle Harrison,MIL,236.0,7,4.56,118,1.34,,2024
Daniel Hudson,LAD,235.5,6,3.0,63,1.03,10.0,2024
Cade Smith,CLE,234.5,6,1.91,103,0.9,1.0,2024
Aroldis Chapman,BOS,231.0,5,3.79,98,1.35,14.0,2024
Chad Green,TOR,224.0,4,3.21,46,1.03,17.0,2024
David Bednar,NYY,222.0,3,5.77,58,1.42,23.0,2024
Jose Butto,SF,220.5,7,2.55,79,1.07,3.0,2024
Matt Strahm,KC,214.5,6,1.87,79,0.75,3.0,2024
Kevin Ginkel,ARI,212.5,8,3.21,77,1.2,5.0,2024
Alex Vesia,LAD,212.5,5,1.76,87,1.0,5.0,2024
Ryan Yarbrough,NYY,211.5,5,3.19,65,1.03,1.0,2024
Derek Law,ARI,211.0,7,2.6,76,1.18,1.0,2024
Hunter Gaddis,CLE,210.0,6,1.57,66,0.76,,2024
Tyler Kinley,ATL,209.0,6,6.19,72,1.47,12.0,2024
Lucas Erceg,KC,209.0,2,3.36,72,1.05,14.0,2024
Justin Martinez,ARI,207.5,5,2.48,91,1.31,8.0,2024
James McArthur,KC,204.5,5,4.92,49,1.45,18.0,2024
Keegan Akin,BAL,202.5,3,3.32,97,0.94,1.0,2024
Jonathan Cannon,CHW,200.5,5,4.49,91,1.33,1.0,2024
Bryan Hudson,CHW,195.0,6,1.73,62,0.72,,2024
Jalen Beeks,TEX,194.5,7,4.5,55,1.49,10.0,2024
Bryse Wilson,PHI,192.0,5,4.04,82,1.27,,2024
Jon Gray,TEX,191.0,5,4.47,86,1.31,,2024
Jose Alvarado,PHI,190.5,2,4.09,63,1.25,13.0,2024
Tyler Alexander,TEX,188.0,6,5.1,90,1.24,,2024
Victor Vodnik,COL,186.5,5,4.28,65,1.48,9.0,2024
Porter Hodge,CHC,186.0,3,1.88,52,0.88,9.0,2024
Pedro Avila,CLE,185.0,6,3.81,82,1.32,1.0,2024
Chris Flexen,CHC,184.5,3,4.95,123,1.52,,2024
