id,name,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,season
664040,"Lowe, Brandon",120,0.3333333333333333,0.6666666666666667,0.325,0.225,0.11666666666666667,0.4166666666666667,0.38333333333333336,0.2,0.16666666666666666,0.14166666666666666,0.025,0.25,0.2416666666666667,0.17500000000000002,2026
804606,"Griffin, Konnor",108,0.5370370370370371,0.46296296296296297,0.18518518518518517,0.24074074074074073,0.037037037037037035,0.4074074074074074,0.32407407407407407,0.26851851851851855,0.25925925925925924,0.16666666666666666,0.1111111111111111,0.14814814814814814,0.1574074074074074,0.15740740740740744,2026
668904,"Lewis, Royce",68,0.38235294117647056,0.6176470588235294,0.25,0.22058823529411764,0.14705882352941177,0.45588235294117646,0.38235294117647056,0.16176470588235295,0.20588235294117646,0.16176470588235295,0.014705882352941176,0.25,0.2205882352941176,0.14705882352941177,2026
663616,"Larnach, Trevor",86,0.4418604651162791,0.5581395348837209,0.18604651162790697,0.2558139534883721,0.11627906976744186,0.4069767441860465,0.3953488372093023,0.19767441860465115,0.20930232558139536,0.16279069767441862,0.06976744186046512,0.19767441860465115,0.2325581395348837,0.12790697674418605,2026
621493,"Ward, Taylor",129,0.4418604651162791,0.5581395348837209,0.26356589147286824,0.2558139534883721,0.03875968992248062,0.3333333333333333,0.3953488372093023,0.2713178294573643,0.20155038759689922,0.17829457364341086,0.06201550387596899,0.1317829457364341,0.21705426356589144,0.20930232558139533,2026
683357,"Caissie, Owen",67,0.3880597014925373,0.6119402985074627,0.26865671641791045,0.31343283582089554,0.029850746268656716,0.208955223880597,0.5522388059701493,0.23880597014925373,0.08955223880597014,0.2537313432835821,0.04477611940298507,0.11940298507462686,0.2985074626865672,0.19402985074626866,2026
514888,"Altuve, Jose",130,0.4846153846153846,0.5153846153846154,0.17692307692307693,0.25384615384615383,0.08461538461538462,0.4230769230769231,0.46923076923076923,0.1076923076923077,0.2153846153846154,0.25384615384615383,0.015384615384615385,0.20769230769230768,0.2153846153846154,0.09230769230769231,2026
572233,"Walker, Christian",143,0.44755244755244755,0.5524475524475525,0.25874125874125875,0.20279720279720279,0.09090909090909091,0.4125874125874126,0.34265734265734266,0.24475524475524477,0.21678321678321677,0.17482517482517482,0.055944055944055944,0.19580419580419584,0.16783216783216784,0.18881118881118883,2026
670623,"Paredes, Isaac",128,0.2578125,0.7421875,0.3359375,0.265625,0.140625,0.546875,0.2578125,0.1953125,0.171875,0.046875,0.0390625,0.375,0.2109375,0.15625,2026
673237,"Diaz, Yainer",87,0.5747126436781609,0.42528735632183906,0.1839080459770115,0.19540229885057472,0.04597701149425287,0.28735632183908044,0.4367816091954023,0.27586206896551724,0.20689655172413793,0.28735632183908044,0.08045977011494253,0.08045977011494251,0.14942528735632188,0.1954022988505747,2026
