player_name,player_name_norm,position,team,owned_pct,prev_owned_pct,add_drop_flag
Nick Martinez,nick martinez,RP,TB,85.0,81.0,added
Lucas Erceg,lucas erceg,RP,KC,84.0,81.0,added
Connelly Early,connelly early,SP,BOS,84.0,82.0,added
Dansby Swanson,dansby swanson,SS,CHC,84.0,87.0,dropped
Chandler Simpson,chandler simpson,CF,TB,84.0,83.0,added
Kyle Bradish,kyle bradish,SP,BAL,84.0,83.0,added
Luis Robert,luis robert,CF,NYM,83.0,88.0,dropped
Luis Arraez,luis arraez,2B,SF,83.0,82.0,added
Ryan Helsley,ryan helsley,RP,BAL,83.0,85.0,dropped
Seth Lugo,seth lugo,SP,KC,82.0,86.0,dropped
Willson Contreras,willson contreras,C,BOS,82.0,84.0,dropped
Kyle Harrison,kyle harrison,SP,MIL,82.0,81.0,added
Bryan Baker,bryan baker,RP,TB,81.0,77.0,added
Bubba Chandler,bubba chandler,P,PIT,81.0,87.0,dropped
Max Meyer,max meyer,SP,MIA,80.0,71.0,added
Ramon Laureano,ramon laureano,RF,SD,80.0,88.0,dropped
Aaron Nola,aaron nola,SP,PHI,80.0,83.0,dropped
Foster Griffin,foster griffin,SP,WAS,79.0,61.0,added
Jose Caballero,jose caballero,2B,NYY,79.0,83.0,dropped
Tanner Bibee,tanner bibee,SP,CLE,79.0,81.0,dropped
Matthew Boyd,matthew boyd,SP,CHC,78.0,86.0,dropped
Ceddanne Rafaela,ceddanne rafaela,CF,BOS,78.0,77.0,added
Jakob Marsee,jakob marsee,OF,MIA,77.0,80.0,dropped
Travis Bazzana,travis bazzana,2B,CLE,76.0,70.0,added
Samuel Basallo,samuel basallo,C,BAL,76.0,72.0,added
Jeffrey Springs,jeffrey springs,SP,ATH,76.0,73.0,added
Randy Vasquez,randy vasquez,RP,SD,76.0,79.0,dropped
Nick Pivetta,nick pivetta,RP,SD,75.0,77.0,dropped
Tanner Scott,tanner scott,RP,LAD,74.0,72.0,added
Giancarlo Stanton,giancarlo stanton,DH,NYY,74.0,77.0,dropped
Joey Cantillo,joey cantillo,SP,CLE,73.0,65.0,added
Lawrence Butler,lawrence butler,CF,ATH,73.0,78.0,dropped
Jack Leiter,jack leiter,P,TEX,73.0,77.0,dropped
Noah Schultz,noah schultz,SP,CHW,73.0,77.0,dropped
Brandon Marsh,brandon marsh,CF,PHI,72.0,55.0,added
Logan Henderson,logan henderson,SP,MIL,72.0,60.0,added
Trent Grisham,trent grisham,CF,NYY,71.0,68.0,added
Jac Caglianone,jac caglianone,1B,KC,71.0,73.0,dropped
Bailey Ober,bailey ober,SP,MIN,70.0,66.0,added
Noah Cameron,noah cameron,P,KC,69.0,76.0,dropped
Trevor Story,trevor story,SS,BOS,69.0,73.0,dropped
Seranthony Dominguez,seranthony dominguez,RP,CHW,69.0,68.0,added
Jameson Taillon,jameson taillon,SP,CHC,68.0,70.0,dropped
Michael McGreevy,michael mcgreevy,P,STL,67.0,43.0,added
Luis Castillo,luis castillo,SP,SEA,67.0,78.0,dropped
Robert Suarez,robert suarez,RP,ATL,67.0,73.0,dropped
Carter Jensen,carter jensen,C,KC,67.0,72.0,dropped
Brooks Lee,brooks lee,SS,MIN,66.0,51.0,added
Nolan Arenado,nolan arenado,3B,ARI,66.0,62.0,added
Marcus Semien,marcus semien,2B,NYM,66.0,68.0,dropped
Bryce Miller,bryce miller,SP,SEA,65.0,59.0,added
Andrew Abbott,andrew abbott,SP,CIN,65.0,63.0,added
Kerry Carpenter,kerry carpenter,RF,DET,65.0,74.0,dropped
Spencer Torkelson,spencer torkelson,1B,DET,65.0,71.0,dropped
Spencer Steer,spencer steer,1B,CIN,63.0,59.0,added
Jack Flaherty,jack flaherty,SP,DET,63.0,60.0,added
Emilio Pagan,emilio pagan,RP,CIN,63.0,75.0,dropped
Zac Gallen,zac gallen,SP,ARI,63.0,69.0,dropped
Chase Dollander,chase dollander,SP,COL,63.0,62.0,added
Reid Detmers,reid detmers,SP,LAA,62.0,65.0,dropped
Gregory Soto,gregory soto,RP,PIT,61.0,42.0,added
Jacob Latz,jacob latz,RP,TEX,61.0,53.0,added
Moises Ballesteros,moises ballesteros,C,CHC,61.0,70.0,dropped
Trevor Megill,trevor megill,RP,MIL,61.0,69.0,dropped
Spencer Jones,spencer jones,CF,NYY,60.0,34.0,added
Adolis Garcia,adolis garcia,RF,PHI,60.0,63.0,dropped
Casey Schmitt,casey schmitt,SS,SF,59.0,49.0,added
Jared Jones,jared jones,SP,PIT,59.0,53.0,added
Carson Benge,carson benge,RF,NYM,59.0,58.0,added
Robby Snelling,robby snelling,SP,MIA,59.0,62.0,dropped
Ryan Waldschmidt,ryan waldschmidt,CF,ARI,58.0,30.0,added
Tatsuya Imai,tatsuya imai,SP,HOU,58.0,63.0,dropped
Mauricio Dubon,mauricio dubon,2B,ATL,58.0,61.0,dropped
Merrill Kelly,merrill kelly,SP,ARI,58.0,60.0,dropped
Peter Lambert,peter lambert,RP,HOU,57.0,36.0,added
Ryne Nelson,ryne nelson,SP,ARI,57.0,48.0,added
Gleyber Torres,gleyber torres,2B,DET,57.0,63.0,dropped
Grayson Rodriguez,grayson rodriguez,SP,LAA,56.0,54.0,added
Matt McLain,matt mclain,SS,CIN,56.0,61.0,dropped
Eduardo Rodriguez,eduardo rodriguez,SP,ARI,55.0,45.0,added
Cam Smith,cam smith,3B,HOU,55.0,63.0,dropped
Sal Frelick,sal frelick,RF,MIL,55.0,59.0,dropped
Dalton Rushing,dalton rushing,C,LAD,55.0,59.0,dropped
Jeff Hoffman,jeff hoffman,RP,TOR,53.0,60.0,dropped
Mick Abel,mick abel,P,MIN,53.0,60.0,dropped
Heliot Ramos,heliot ramos,LF,SF,52.0,49.0,added
Andrew Painter,andrew painter,SP,PHI,51.0,65.0,dropped
Francisco Alvarez,francisco alvarez,C,NYM,51.0,60.0,dropped
Addison Barger,addison barger,3B,TOR,51.0,57.0,dropped
Cole Young,cole young,SS,SEA,51.0,55.0,dropped
Justin Crawford,justin crawford,CF,PHI,51.0,53.0,dropped
Bryce Eldridge,bryce eldridge,1B,SF,50.0,56.0,dropped
Luis Severino,luis severino,SP,ATH,50.0,55.0,dropped
Roki Sasaki,roki sasaki,P,LAD,49.0,41.0,added
Angel Martinez,angel martinez,SS,CLE,49.0,58.0,dropped
Carlos Estevez,carlos estevez,RP,KC,49.0,56.0,dropped
Jake Bauers,jake bauers,RF,MIL,49.0,48.0,added
Rico Garcia,rico garcia,RP,BAL,48.0,34.0,added
Shane Baz,shane baz,SP,BAL,48.0,60.0,dropped
Andres Gimenez,andres gimenez,2B,TOR,48.0,53.0,dropped
A.J. Ewing,a.j. ewing,LF,NYM,47.0,13.0,added
Yainer Diaz,yainer diaz,C,HOU,47.0,53.0,dropped
Bryson Stott,bryson stott,2B,PHI,47.0,46.0,added
Carlos Cortes,carlos cortes,LF,ATH,46.0,50.0,dropped
Agustin Ramirez,agustin ramirez,C,MIA,45.0,63.0,dropped
Dennis Santana,dennis santana,RP,PIT,45.0,56.0,dropped
Grant Holmes,grant holmes,RP,ATL,45.0,54.0,dropped
Royce Lewis,royce lewis,3B,MIN,45.0,53.0,dropped
Steven Matz,steven matz,SP,TB,45.0,52.0,dropped
Aaron Ashby,aaron ashby,SP,MIL,44.0,36.0,added
Colin Rea,colin rea,SP,CHC,44.0,37.0,added
Jorge Polanco,jorge polanco,1B,NYM,44.0,48.0,dropped
J.T. Realmuto,j.t. realmuto,C,PHI,44.0,43.0,added
Jack Perkins,jack perkins,P,ATH,43.0,49.0,dropped
Brady Singer,brady singer,SP,CIN,43.0,45.0,dropped
Nolan Schanuel,nolan schanuel,1B,LAA,42.0,44.0,dropped
Brayan Rocchio,brayan rocchio,SS,CLE,41.0,33.0,added
Cade Cavalli,cade cavalli,SP,WAS,41.0,55.0,dropped
Jasson Dominguez,jasson dominguez,CF,NYY,41.0,53.0,dropped
Colt Keith,colt keith,3B,DET,41.0,47.0,dropped
Evan Carter,evan carter,LF,TEX,41.0,40.0,added
J.J. Bleday,j.j. bleday,LF,CIN,40.0,19.0,added
TJ Rumfield,tj rumfield,3B,COL,40.0,36.0,added
Mark Vientos,mark vientos,DH,NYM,39.0,38.0,added
Sam Antonacci,sam antonacci,SS,CHW,38.0,31.0,added
Andrew Vaughn,andrew vaughn,1B,MIL,38.0,36.0,added
Chad Patrick,chad patrick,P,MIL,38.0,49.0,dropped
Kade Anderson,kade anderson,SP,SEA,37.0,32.0,added
Joe Musgrove,joe musgrove,SP,SD,37.0,41.0,dropped
Jeremiah Jackson,jeremiah jackson,SS,BAL,36.0,53.0,dropped
Max Clark,max clark,OF,DET,36.0,40.0,dropped
Henry Bolte,henry bolte,RF,ATH,35.0,5.0,added
Luke Raley,luke raley,RF,SEA,35.0,25.0,added
Tyler Mahle,tyler mahle,SP,SF,35.0,39.0,dropped
Keider Montero,keider montero,SP,DET,34.0,20.0,added
Ryan Pepiot,ryan pepiot,RP,TB,34.0,43.0,dropped
Jake Burger,jake burger,3B,TEX,34.0,41.0,dropped
Owen Caissie,owen caissie,OF,MIA,34.0,40.0,dropped
Chris Bassitt,chris bassitt,SP,BAL,34.0,39.0,dropped
Jordan Westburg,jordan westburg,2B,BAL,34.0,38.0,dropped
Michael Burrows,michael burrows,SP,HOU,33.0,28.0,added
Rhett Lowder,rhett lowder,SP,CIN,33.0,50.0,dropped
Christian Scott,christian scott,SP,NYM,32.0,21.0,added
Carlos Correa,carlos correa,SS,HOU,32.0,61.0,dropped
Caleb Durbin,caleb durbin,3B,BOS,32.0,35.0,dropped
Ben Brown,ben brown,SP,CHC,31.0,19.0,added
Aaron Civale,aaron civale,SP,ATH,31.0,23.0,added
Nasim Nunez,nasim nunez,2B,WAS,31.0,28.0,added
Nick Gonzales,nick gonzales,2B,PIT,31.0,28.0,added
Connor Prielipp,connor prielipp,SP,MIN,31.0,29.0,added
Ezequiel Tovar,ezequiel tovar,SS,COL,31.0,36.0,dropped
Masyn Winn,masyn winn,SS,STL,31.0,34.0,dropped
Austin Wells,austin wells,C,NYY,30.0,32.0,dropped
Matthew Liberatore,matthew liberatore,SP,STL,29.0,25.0,added
Charlie Condon,charlie condon,RF,COL,29.0,31.0,dropped
Noelvi Marte,noelvi marte,3B,CIN,29.0,31.0,dropped
Justin Steele,justin steele,SP,CHC,29.0,31.0,dropped
Quinn Priester,quinn priester,SP,MIL,29.0,31.0,dropped
Brett Baty,brett baty,3B,NYM,28.0,32.0,dropped
Tyler Stephenson,tyler stephenson,C,CIN,28.0,30.0,dropped
Max Muncy,max muncy,SS,ATH,28.0,31.0,dropped
Dylan Crews,dylan crews,RF,WAS,28.0,30.0,dropped
Zack Gelof,zack gelof,2B,ATH,27.0,6.0,added
Ezequiel Duran,ezequiel duran,SS,TEX,27.0,7.0,added
Erik Sabrowski,erik sabrowski,P,CLE,27.0,25.0,added
Jose Fernandez,jose fernandez,SS,ARI,27.0,36.0,dropped
Alex Vesia,alex vesia,RP,LAD,27.0,32.0,dropped
Daniel Schneemann,daniel schneemann,2B,CLE,27.0,30.0,dropped
Dylan Beavers,dylan beavers,OF,BAL,27.0,29.0,dropped
Brandon Sproat,brandon sproat,SP,MIL,26.0,22.0,added
Ryan Walker,ryan walker,RP,SF,26.0,50.0,dropped
Tony Santillan,tony santillan,RP,CIN,26.0,34.0,dropped
Brenton Doyle,brenton doyle,CF,COL,26.0,31.0,dropped
Marcelo Mayer,marcelo mayer,2B,BOS,26.0,29.0,dropped
Hye Seong Kim,hye seong kim,2B,LAD,26.0,29.0,dropped
Didier Fuentes,didier fuentes,P,ATL,26.0,29.0,dropped
Cade Horton,cade horton,P,CHC,26.0,28.0,dropped
Trevor McDonald,trevor mcdonald,SP,SF,25.0,5.0,added
Garrett Mitchell,garrett mitchell,CF,MIL,25.0,33.0,dropped
Nathan Church,nathan church,OF,STL,25.0,28.0,dropped
Walker Jenkins,walker jenkins,OF,MIN,25.0,27.0,dropped
Kodai Senga,kodai senga,SP,NYM,25.0,28.0,dropped
Reynaldo Lopez,reynaldo lopez,RP,ATL,24.0,31.0,dropped
Spencer Horwitz,spencer horwitz,1B,PIT,24.0,23.0,added
Andrew Benintendi,andrew benintendi,LF,CHW,24.0,27.0,dropped
Kirby Yates,kirby yates,RP,LAA,24.0,26.0,dropped
Stephen Kolek,stephen kolek,RP,KC,23.0,2.0,added
Gus Varland,gus varland,RP,WAS,23.0,19.0,added
Matt Shaw,matt shaw,SS,CHC,23.0,27.0,dropped
Brayan Bello,brayan bello,SP,BOS,23.0,22.0,added
David Peterson,david peterson,SP,NYM,23.0,26.0,dropped
Jack Kochanowicz,jack kochanowicz,SP,LAA,22.0,32.0,dropped
Josh Bell,josh bell,DH,MIN,22.0,29.0,dropped
Yusei Kikuchi,yusei kikuchi,SP,LAA,22.0,27.0,dropped
Kyle Manzardo,kyle manzardo,1B,CLE,22.0,24.0,dropped
Clayton Beeter,clayton beeter,RP,WAS,22.0,24.0,dropped
Lucas Giolito,lucas giolito,SP,SD,21.0,18.0,added
Bryan Abreu,bryan abreu,RP,HOU,21.0,23.0,dropped
Andre Pallante,andre pallante,RP,STL,20.0,18.0,added
Jesus Sanchez,jesus sanchez,RF,TOR,20.0,22.0,dropped
J.P. Crawford,j.p. crawford,SS,SEA,19.0,13.0,added
Chase Meidroth,chase meidroth,SS,CHW,19.0,17.0,added
Jake Junis,jake junis,RP,TEX,19.0,26.0,dropped
Nate Lowe,nate lowe,1B,CIN,19.0,25.0,dropped
TJ Friedl,tj friedl,CF,CIN,19.0,24.0,dropped
Jeff McNeil,jeff mcneil,2B,ATH,19.0,22.0,dropped
Nolan Gorman,nolan gorman,2B,STL,19.0,21.0,dropped
Caleb Kilian,caleb kilian,RP,SF,18.0,9.0,added
Joel Kuhnel,joel kuhnel,RP,ATH,18.0,22.0,dropped
Kyle Leahy,kyle leahy,RP,STL,18.0,17.0,added
Shane Smith,shane smith,RP,CHW,18.0,20.0,dropped
Braxton Garrett,braxton garrett,SP,MIA,17.0,12.0,added
Joe Mack,joe mack,C,MIA,17.0,13.0,added
Brice Matthews,brice matthews,SS,HOU,17.0,16.0,added
James Tibbs,james tibbs,RF,LAD,17.0,19.0,dropped
Robert Garcia,robert garcia,RP,TEX,17.0,19.0,dropped
Jesus Rodriguez,jesus rodriguez,C,SF,16.0,5.0,added
Ha-seong Kim,ha-seong kim,2B,ATL,16.0,11.0,added
Oswald Peraza,oswald peraza,3B,LAA,16.0,18.0,dropped
JoJo Romero,jojo romero,RP,STL,16.0,15.0,added
Luke Weaver,luke weaver,SP,NYM,16.0,18.0,dropped
Kyle Finnegan,kyle finnegan,RP,DET,15.0,20.0,dropped
Brad Keller,brad keller,SP,PHI,15.0,19.0,dropped
Coby Mayo,coby mayo,3B,BAL,15.0,18.0,dropped
Graham Ashcraft,graham ashcraft,SP,CIN,15.0,14.0,added
Jake McCarthy,jake mccarthy,RF,COL,14.0,5.0,added
Bryan King,bryan king,P,HOU,14.0,11.0,added
Lance McCullers,lance mccullers,SP,HOU,14.0,20.0,dropped
Elmer Rodriguez,elmer rodriguez,SP,NYY,14.0,20.0,dropped
Luis Gil,luis gil,SP,NYY,14.0,18.0,dropped
Matt Wallner,matt wallner,LF,MIN,14.0,18.0,dropped
Gary Sanchez,gary sanchez,C,MIL,14.0,16.0,dropped
Victor Vodnik,victor vodnik,RP,COL,14.0,16.0,dropped
Grant Taylor,grant taylor,RP,CHW,14.0,16.0,dropped
Antonio Senzatela,antonio senzatela,SP,COL,13.0,11.0,added
Kumar Rocker,kumar rocker,P,TEX,13.0,17.0,dropped
Josh H. Smith,josh h. smith,SS,TEX,13.0,16.0,dropped
Gavin Sheets,gavin sheets,RF,SD,13.0,15.0,dropped
Cedric Mullins,cedric mullins,CF,TB,13.0,15.0,dropped
Colton Cowser,colton cowser,RF,BAL,13.0,15.0,dropped
J.T. Ginn,j.t. ginn,P,ATH,12.0,4.0,added
Tomoyuki Sugano,tomoyuki sugano,SP,COL,12.0,18.0,dropped
Zach Cole,zach cole,OF,HOU,12.0,10.0,added
Tyler O'Neill,tyler o'neill,LF,BAL,12.0,14.0,dropped
Dylan Lee,dylan lee,RP,ATL,12.0,10.0,added
Tommy Edman,tommy edman,2B,LAD,11.0,13.0,dropped
Lourdes Gurriel,lourdes gurriel,LF,ARI,11.0,14.0,dropped
Kyle Isbel,kyle isbel,CF,KC,11.0,13.0,dropped
Jordan Beck,jordan beck,LF,COL,11.0,13.0,dropped
Victor Scott II,victor scott ii,OF,STL,11.0,13.0,dropped
Jose Berrios,jose berrios,SP,TOR,11.0,14.0,dropped
Max Scherzer,max scherzer,SP,TOR,11.0,13.0,dropped
Walbert Urena,walbert urena,SP,LAA,10.0,5.0,added
Miguel Amaya,miguel amaya,C,CHC,10.0,12.0,dropped
Zach McKinstry,zach mckinstry,3B,DET,10.0,12.0,dropped
Isaac Collins,isaac collins,LF,KC,10.0,8.0,added
Joshua Lowe,joshua lowe,RF,LAA,10.0,12.0,dropped
Griffin Canning,griffin canning,SP,SD,10.0,12.0,dropped
Dominic Smith,dominic smith,1B,ATL,9.0,12.0,dropped
Edouard Julien,edouard julien,2B,COL,9.0,12.0,dropped
Jake Cronenworth,jake cronenworth,1B,SD,9.0,11.0,dropped
Ryan McMahon,ryan mcmahon,3B,NYY,9.0,8.0,added
Martin Perez,martin perez,SP,ATL,9.0,8.0,added
Cole Carrigg,cole carrigg,C,COL,8.0,4.0,added
Luisangel Acuna,luisangel acuna,2B,CHW,8.0,10.0,dropped
Cooper Pratt,cooper pratt,SS,MIL,8.0,10.0,dropped
Austin Martin,austin martin,SS,MIN,8.0,7.0,added
Trevor Larnach,trevor larnach,LF,MIN,8.0,10.0,dropped
Edwin Arroyo,edwin arroyo,SS,CIN,7.0,3.0,added
Adrian Del Castillo,adrian del castillo,C,ARI,7.0,6.0,added
Alex Freeland,alex freeland,SS,LAD,7.0,6.0,added
Esteury Ruiz,esteury ruiz,CF,MIA,7.0,5.0,added
Jack Wenninger,jack wenninger,SP,NYM,7.0,6.0,added
Anthony Eyanson,anthony eyanson,SP,BOS,7.0,6.0,added
Zack Littell,zack littell,SP,WAS,7.0,9.0,dropped
Brandon Pfaadt,brandon pfaadt,SP,ARI,7.0,9.0,dropped
Enyel De Los Santos,enyel de los santos,RP,HOU,7.0,10.0,dropped
Pierce Johnson,pierce johnson,RP,CIN,6.0,1.0,added
Brandon Valenzuela,brandon valenzuela,C,TOR,6.0,2.0,added
David Fry,david fry,C,CLE,6.0,3.0,added
Ryan Zeferjahn,ryan zeferjahn,P,LAA,6.0,3.0,added
Ty Madden,ty madden,P,DET,6.0,3.0,added
Kevin Kelly,kevin kelly,RP,TB,6.0,3.0,added
Daniel Susac,daniel susac,C,SF,6.0,3.0,added
Luis Campusano,luis campusano,C,SD,6.0,11.0,dropped
Christian Vazquez,christian vazquez,C,HOU,6.0,4.0,added
Sean Murphy,sean murphy,C,ATL,6.0,9.0,dropped
Tyler Freeman,tyler freeman,3B,COL,6.0,5.0,added
Joey Wiemer,joey wiemer,CF,WAS,6.0,8.0,dropped
Brandon Young,brandon young,SP,BAL,6.0,4.0,added
Jake Irvin,jake irvin,SP,WAS,6.0,8.0,dropped
Jordan Romano,jordan romano,RP,LAA,6.0,8.0,dropped
Tyler Phillips,tyler phillips,SP,MIA,6.0,8.0,dropped
Brent Headrick,brent headrick,RP,NYY,5.0,2.0,added
Jake Bennett,jake bennett,SP,BOS,5.0,12.0,dropped
Keibert Ruiz,keibert ruiz,C,WAS,5.0,4.0,added
Paul Goldschmidt,paul goldschmidt,1B,NYY,5.0,4.0,added
Curtis Mead,curtis mead,3B,WAS,5.0,4.0,added
Alek Manoah,alek manoah,SP,LAA,5.0,3.0,added
Jack Dreyer,jack dreyer,P,LAD,5.0,4.0,added
Eric Lauer,eric lauer,SP,TOR,5.0,8.0,dropped
Tyler Alexander,tyler alexander,RP,TEX,5.0,7.0,dropped
Bo Naylor,bo naylor,C,CLE,4.0,6.0,dropped
Brant Hurter,brant hurter,P,DET,4.0,3.0,added
Cole Sulser,cole sulser,RP,TB,4.0,3.0,added
Jose Ferrer,jose ferrer,RP,SEA,4.0,3.0,added
Joey Bart,joey bart,C,PIT,3.0,2.0,added
Eric Hartman,eric hartman,OF,ATL,3.0,2.0,added
Jose Quintana,jose quintana,SP,COL,3.0,2.0,added
Miles Mikolas,miles mikolas,SP,WAS,3.0,2.0,added
Cade Povich,cade povich,SP,BAL,3.0,6.0,dropped
Henry Davis,henry davis,RF,PIT,2.0,3.0,dropped
Thayron Liranzo,thayron liranzo,C,DET,2.0,3.0,dropped
Jared Triolo,jared triolo,3B,PIT,2.0,3.0,dropped
Blaze Alexander,blaze alexander,SS,BAL,2.0,1.0,added
Michael Massey,michael massey,2B,KC,2.0,1.0,added
Tyler Fitzgerald,tyler fitzgerald,CF,LAD,2.0,3.0,dropped
Sung-Mun Song,sung-mun song,3B,SD,2.0,3.0,dropped
Braden Shewmake,braden shewmake,SS,HOU,2.0,0.0,added
Kayson Cunningham,kayson cunningham,SS,ARI,2.0,3.0,dropped
Brayden Taylor,brayden taylor,SS,TB,2.0,3.0,dropped
Michael Conforto,michael conforto,RF,CHC,2.0,1.0,added
Matt Vierling,matt vierling,RF,DET,2.0,1.0,added
MJ Melendez,mj melendez,RF,NYM,2.0,3.0,dropped
Griffin Conine,griffin conine,RF,MIA,2.0,3.0,dropped
Hector Rodriguez,hector rodriguez,CF,CIN,2.0,3.0,dropped
Nelson Rada,nelson rada,CF,LAA,2.0,3.0,dropped
Robert Calaz,robert calaz,CF,COL,2.0,3.0,dropped
Braylon Payne,braylon payne,OF,MIL,2.0,3.0,dropped
Slade Caldwell,slade caldwell,OF,ARI,2.0,3.0,dropped
Ethan Frey,ethan frey,CF,HOU,2.0,3.0,dropped
Shane Drohan,shane drohan,SP,MIL,2.0,1.0,added
Michael Lorenzen,michael lorenzen,SP,COL,2.0,3.0,dropped
Kai-Wei Teng,kai-wei teng,SP,HOU,2.0,3.0,dropped
Dasan Hill,dasan hill,SP,MIN,2.0,3.0,dropped
Drew Anderson,drew anderson,RP,DET,2.0,1.0,added
John King,john king,RP,MIA,2.0,1.0,added
Chris Martin,chris martin,RP,TEX,2.0,3.0,dropped
Yennier Cano,yennier cano,RP,BAL,2.0,3.0,dropped
Gordon Graceffo,gordon graceffo,P,STL,2.0,3.0,dropped
Austin Hedges,austin hedges,C,CLE,1.0,0.0,added
Leonardo Bernal,leonardo bernal,C,STL,1.0,2.0,dropped
Nick Loftin,nick loftin,1B,KC,1.0,0.0,added
Richard Palacios,richard palacios,LF,TB,1.0,2.0,dropped
Juan Brito,juan brito,SS,CLE,1.0,2.0,dropped
JD Dix,jd dix,SS,ARI,1.0,2.0,dropped
Josh Kasevich,josh kasevich,SS,TOR,1.0,0.0,added
Darell Morel,darell morel,SS,PIT,1.0,0.0,added
Dorian Soto,dorian soto,SS,BOS,1.0,2.0,dropped
Daniel Pierce,daniel pierce,SS,TB,1.0,2.0,dropped
Marek Houston,marek houston,SS,MIN,1.0,2.0,dropped
Gage Workman,gage workman,3B,DET,1.0,0.0,added
Cayden Wallace,cayden wallace,3B,WAS,1.0,0.0,added
Jose Miranda,jose miranda,3B,MIN,1.0,2.0,dropped
Adolfo Sanchez,adolfo sanchez,CF,CIN,1.0,0.0,added
Heriberto Hernandez,heriberto hernandez,C,MIA,1.0,2.0,dropped
Brennen Davis,brennen davis,CF,SEA,1.0,2.0,dropped
Felix Reyes,felix reyes,RF,PHI,1.0,2.0,dropped
Kemp Alderman,kemp alderman,OF,MIA,1.0,2.0,dropped
Brailer Guerrero,brailer guerrero,RF,TB,1.0,2.0,dropped
Paulino Santana,paulino santana,CF,TEX,1.0,2.0,dropped
Dante Nori,dante nori,OF,PHI,1.0,2.0,dropped
Andrew Salas,andrew salas,3B,MIA,1.0,2.0,dropped
Diego Tornes,diego tornes,RF,ATL,1.0,2.0,dropped
Brendan Summerhill,brendan summerhill,OF,TB,1.0,2.0,dropped
Devin Taylor,devin taylor,LF,ATH,1.0,2.0,dropped
Angeibel Gomez,angeibel gomez,CF,KC,1.0,2.0,dropped
Jay Groome,jay groome,SP,SD,1.0,0.0,added
Brendan McKay,brendan mckay,SP,TB,1.0,0.0,added
PJ Poulin,pj poulin,RP,WAS,1.0,0.0,added
Yoendrys Gomez,yoendrys gomez,RP,MIN,1.0,0.0,added
Lucas Braun,lucas braun,SP,ATL,1.0,0.0,added
Spencer Miles,spencer miles,SP,TOR,1.0,0.0,added
Ben Jacobs,ben jacobs,SP,DET,1.0,0.0,added
Yhoiker Fajardo,yhoiker fajardo,SP,STL,1.0,0.0,added
