batter,PA_apr,wOBA,xwOBA_curr,xwOBA_fix,HR_apr,year
593643,24,0.44333333333333336,0.33479166666666665,0.33479166666666665,0.0,2022
593871,97,0.31,0.3012623596792669,0.2864828707943573,2.0,2022
593934,78,0.3207692307692308,0.4094551322371835,0.39107051685256816,3.0,2022
594777,68,0.21052631578947367,0.2646856714200832,0.2646856714200832,0.0,2022
594807,94,0.3,0.29522966683597646,0.2932012980416502,1.0,2022
594838,3,,0.3,0.3,0.0,2022
594953,7,,0.37857142857142856,0.37857142857142856,0.0,2022
594988,4,,0.0,0.0,0.0,2022
595281,62,0.2963636363636364,0.31910887096774193,0.30153676075268815,2.0,2022
595284,20,0.2225,0.2785,0.2785,0.0,2022
595375,4,0.225,0.14125000000000001,0.14125000000000001,0.0,2022
595751,47,0.37625000000000003,0.27327659574468083,0.2664336372847011,1.0,2022
595777,98,0.41428571428571426,0.4225984472049689,0.3707301556575807,5.0,2022
595879,58,0.43444444444444447,0.3575962297720919,0.34326225501839724,2.0,2022
595885,5,,0.0,0.0,0.0,2022
595909,3,,0.3,0.3,0.0,2022
595956,22,0.5625,0.33561212121212125,0.33561212121212125,2.0,2022
595978,62,0.23981481481481481,0.26233870967741935,0.24071884018013048,2.0,2022
596019,107,0.3780612244897959,0.36494311853762407,0.32823963996790717,4.0,2022
596059,66,0.27807017543859647,0.23875901875901873,0.23875901875901873,0.0,2022
596103,52,0.42906976744186043,0.3584667832167832,0.3182677786918963,2.0,2022
596115,84,0.2939189189189189,0.25956163005386607,0.25956163005386607,0.0,2022
596117,20,0.7136363636363637,0.32957187499999996,0.32957187499999996,0.0,2022
596129,81,0.4176923076923077,0.3000312757201646,0.2863009967398856,3.0,2022
596142,59,0.309375,0.2486483387140167,0.2486483387140167,1.0,2022
596146,91,0.4525641025641025,0.44365023889154326,0.40884687502738715,6.0,2022
596451,7,0.4,0.146,0.146,0.0,2022
596748,100,0.39285714285714285,0.34808687499999996,0.3423102810077519,4.0,2022
596847,64,0.5423076923076923,0.42215953374455734,0.4146681428508227,2.0,2022
598265,83,0.2746478873239437,0.27665246003646116,0.27665246003646116,2.0,2022
600474,6,,0.8083333333333332,0.8083333333333332,1.0,2022
600869,87,0.24733333333333335,0.27272179855585027,0.27272179855585027,0.0,2022
602074,37,0.8150000000000001,0.4307007722007722,0.4307007722007722,0.0,2022
602104,80,0.252112676056338,0.3188181070631243,0.3188181070631243,0.0,2022
605113,19,0.4842105263157894,0.4045263157894737,0.26242874493927126,2.0,2022
605119,63,0.39913793103448275,0.3663439742053014,0.3663439742053014,0.0,2022
605131,25,0.3428571428571428,0.35348,0.29197142857142855,2.0,2022
605137,100,0.47752808988764045,0.3923572727272727,0.3832079704016913,2.0,2022
605141,97,0.3735632183908046,0.35809963404293305,0.3335594273534912,3.0,2022
605170,36,0.594,0.43913888888888886,0.4342192192192192,2.0,2022
605204,37,0.3734375,0.415520117571152,0.4051706518263375,1.0,2022
605244,41,0.46166666666666667,0.3263414634146341,0.3263414634146341,3.0,2022
605346,1,,0.0,0.0,0.0,2022
605421,9,,0.23333333333333328,0.23333333333333328,0.0,2022
605486,4,,0.9375,0.9375,0.0,2022
605548,40,0.1793103448275862,0.16337656250000002,0.1233404513888889,1.0,2022
605612,43,0.34285714285714286,0.30171699698323595,0.30171699698323595,0.0,2022
606115,42,0.4234375,0.3805578042328043,0.3805578042328043,0.0,2022
606132,87,0.32229729729729734,0.33554582462162585,0.3275809286912127,1.0,2022
606157,57,0.30357142857142855,0.3015393112410656,0.2908066796621183,3.0,2022
606192,35,0.5347826086956522,0.3418207792207792,0.3394264935064935,1.0,2022
606466,102,0.250561797752809,0.2533150411132195,0.24022299318293627,1.0,2022
606992,48,0.28292682926829266,0.31742324561403507,0.3028249550157445,1.0,2022
606993,9,,0.1388888888888889,0.1388888888888889,0.0,2022
607043,80,0.42866666666666664,0.39074344827586205,0.35771404122458,3.0,2022
607054,55,0.3117021276595745,0.35489810606060607,0.32596073232323236,1.0,2022
607208,94,0.38095238095238093,0.336213475177305,0.33089632092198584,1.0,2022
607249,11,0.5666666666666667,0.35818181818181816,0.35818181818181816,0.0,2022
607333,6,,0.0,0.0,0.0,2022
607461,42,0.3016666666666667,0.3015582010582011,0.3015582010582011,0.0,2022
607468,3,,0.7166666666666667,0.7166666666666667,0.0,2022
607680,7,,0.0,0.0,0.0,2022
607732,61,0.23596491228070177,0.2251639344262295,0.2126234796404019,1.0,2022
608070,103,0.5138888888888888,0.4433808859223301,0.38848126994076654,7.0,2022
608324,98,0.3795454545454545,0.37795085034013604,0.3198125087966221,4.0,2022
608336,82,0.3289855072463768,0.3445847967479675,0.3420435485413678,2.0,2022
608348,62,0.21250000000000002,0.21513856304985338,0.21513856304985338,0.0,2022
608369,98,0.31896551724137934,0.3700278058054918,0.34513297890620065,4.0,2022
608385,98,0.2942528735632184,0.37189871152635284,0.37189871152635284,0.0,2022
608422,6,0.27999999999999997,0.256,0.256,0.0,2022
608577,10,,0.16,0.16,0.0,2022
608596,38,0.5636363636363637,0.4430547302395774,0.4421863091869459,2.0,2022
608671,27,0.364,0.3055555555555556,0.3055555555555556,0.0,2022
608686,44,0.42428571428571427,0.2920975935828877,0.27970933600713016,1.0,2022
608700,31,0.2545454545454545,0.20091858678955454,0.20091858678955454,1.0,2022
608701,10,0.7999999999999999,0.3452,0.3452,0.0,2022
608703,4,0.625,0.40825,0.40825,0.0,2022
609275,62,0.18518518518518517,0.20441037390029326,0.20441037390029326,0.0,2022
609280,5,0.9,0.1926,0.1926,0.0,2022
613564,37,0.4375,0.3506891891891892,0.2917629504504505,2.0,2022
614173,7,0.5375,0.3711428571428571,0.3711428571428571,0.0,2022
614177,89,0.24285714285714285,0.2585351450222106,0.2442615120634091,3.0,2022
620443,38,0.4076923076923077,0.3388105263157895,0.3388105263157895,1.0,2022
621002,3,,0.3,0.3,0.0,2022
621005,5,,0.32,0.32,0.0,2022
621006,10,,0.305,0.305,0.0,2022
621011,5,,0.5700000000000001,0.5700000000000001,0.0,2022
621020,94,0.33963414634146344,0.2930383462282398,0.2930383462282398,1.0,2022
621028,61,0.38461538461538464,0.294792924935289,0.294792924935289,0.0,2022
621035,81,0.43194444444444446,0.35159421583231737,0.35159421583231737,2.0,2022
621043,93,0.37839506172839504,0.33822038508822055,0.33822038508822055,3.0,2022
621433,45,0.3426470588235294,0.27770065359477125,0.2705636165577342,1.0,2022
621438,54,0.37857142857142856,0.3015894343956359,0.3015894343956359,0.0,2022
621439,62,0.6452830188679246,0.5727274746434835,0.5243307748294324,9.0,2022
621450,10,,0.06999999999999999,0.06999999999999999,0.0,2022
621453,46,0.24743589743589745,0.2469453779383447,0.2469453779383447,0.0,2022
621458,32,0.35000000000000003,0.24306875,0.23698346354166666,1.0,2022
621466,8,0.6,0.23125,0.23125,0.0,2022
621493,75,0.6185483870967742,0.48195892834224596,0.4308942709107154,6.0,2022
621512,36,0.32931034482758625,0.21035185185185185,0.21035185185185185,0.0,2022
621514,4,,0.175,0.175,0.0,2022
621520,2,,0.45,0.45,0.0,2022
621532,34,0.3019230769230769,0.28573529411764703,0.28573529411764703,0.0,2022
621550,85,0.4108108108108108,0.3307414922831878,0.3157874689887397,3.0,2022
621563,70,0.4311475409836066,0.33697823129251697,0.3267482021379981,1.0,2022
621566,111,0.45721649484536087,0.426082404669792,0.4098591099464974,3.0,2022
621573,4,,1.175,1.175,2.0,2022
622110,51,0.3524390243902439,0.2623259803921569,0.2623259803921569,0.0,2022
622168,3,,0.0,0.0,0.0,2022
622268,4,,0.175,0.175,0.0,2022
622534,73,0.39180327868852455,0.37090271176963935,0.37090271176963935,0.0,2022
622666,69,0.3875,0.33557971014492755,0.33557971014492755,2.0,2022
622682,36,0.508,0.42143115942028986,0.42143115942028986,1.0,2022
622761,76,0.345,0.32875523735810114,0.32875523735810114,1.0,2022
623168,10,0.38125,0.22492857142857142,0.22492857142857142,0.0,2022
623182,2,,0.35,0.35,0.0,2022
623205,49,0.2489583333333333,0.3293910577741617,0.3293910577741617,0.0,2022
623323,4,,0.175,0.175,0.0,2022
623515,14,1.6666666666666667,0.36957142857142855,0.36957142857142855,0.0,2022
623912,48,0.5414285714285714,0.3800185122282609,0.3800185122282609,1.0,2022
623993,97,0.39825581395348836,0.3566316494845361,0.33405264719049776,3.0,2022
624413,103,0.36578947368421055,0.3509622012935041,0.31912447387842,4.0,2022
624414,55,0.2911111111111111,0.3200443550951797,0.3070243179894283,1.0,2022
624415,36,0.21428571428571427,0.239656862745098,0.239656862745098,0.0,2022
624419,8,,0.25,0.25,0.0,2022
624428,103,0.3065217391304348,0.2851383306014374,0.2851383306014374,0.0,2022
624431,33,0.2403846153846154,0.2965957912457913,0.2965957912457913,0.0,2022
624503,44,0.44459459459459455,0.3747551816869999,0.3747551816869999,1.0,2022
624512,44,0.20416666666666666,0.24200970643939393,0.24200970643939393,0.0,2022
624513,32,0.625,0.45690723684210527,0.45690723684210527,1.0,2022
624585,94,0.3372093023255814,0.331800716172994,0.33040709915171745,3.0,2022
624641,29,0.25384615384615383,0.26368965517241383,0.26368965517241383,0.0,2022
625510,1,,0.0,0.0,0.0,2022
628338,36,0.35,0.2809277777777778,0.270290826873385,1.0,2022
628450,58,0.38269230769230766,0.3548598849360745,0.3408767882491238,1.0,2022
628451,67,0.3898305084745763,0.33907200508067575,0.32541632996786773,3.0,2022
630105,106,0.3642105263157895,0.3496020784767247,0.3319849639350818,2.0,2022
640449,35,0.3333333333333333,0.23991428571428572,0.23991428571428572,0.0,2022
640457,80,0.4373333333333333,0.41897405018939393,0.41897405018939393,0.0,2022
640458,74,0.3709677419354839,0.29913105519312416,0.2730880429501119,4.0,2022
640461,57,0.44673913043478264,0.3518820326678766,0.31108517146725595,4.0,2022
640492,25,0.5029411764705882,0.32272,0.32272,1.0,2022
640902,3,,0.3,0.3,0.0,2022
641313,80,0.46594202898550724,0.41390179180619874,0.3767363452735647,3.0,2022
641323,1,,0.0,0.0,0.0,2022
641355,89,0.3221518987341772,0.31013254200274737,0.2889428588986732,4.0,2022
641432,63,0.31057692307692303,0.3244126984126984,0.3202991452991453,1.0,2022
641470,46,0.34782608695652173,0.37451890359168244,0.32579690095663627,3.0,2022
641487,100,0.46011235955056184,0.37631119047619044,0.3547940723136327,3.0,2022
641513,23,0.5304347826086956,0.47498122529644266,0.3939377040728647,2.0,2022
641531,79,0.377536231884058,0.3349571414399655,0.31862270003075976,4.0,2022
641553,47,0.335,0.3156761229314421,0.3156761229314421,0.0,2022
641555,1,,0.7,0.7,0.0,2022
641569,4,,1.225,1.225,2.0,2022
641584,60,0.3083333333333333,0.31625679012345675,0.30348123456790127,2.0,2022
641598,80,0.33541666666666664,0.3034234450483092,0.29076344504830914,2.0,2022
641645,38,0.35625,0.28039553429027114,0.28039553429027114,0.0,2022
641658,22,0.5181818181818182,0.2686363636363636,0.2686363636363636,0.0,2022
641680,41,0.5166666666666667,0.45381649245063876,0.4083449477351916,2.0,2022
641684,42,0.3951612903225806,0.33654790890269154,0.33654790890269154,1.0,2022
641689,2,,0.45,0.45,0.0,2022
641741,17,0.7849999999999999,0.4675294117647059,0.4675294117647059,0.0,2022
641796,19,0.55,0.3957894736842105,0.39042954159592536,1.0,2022
641820,96,0.2927710843373494,0.34411132611753503,0.3382966954357168,1.0,2022
641856,62,0.2969387755102041,0.2994866601988843,0.2847452287472714,2.0,2022
641857,94,0.42716049382716054,0.3635888534755372,0.35779009461028904,2.0,2022
641896,1,,0.7,0.7,0.0,2022
641914,86,0.48802816901408447,0.3679302325581395,0.3506861997985372,4.0,2022
641924,7,,0.2571428571428572,0.2571428571428572,0.0,2022
641933,88,0.2762195121951219,0.3035245674464424,0.2997361059079809,1.0,2022
641945,2,,0.45,0.45,0.0,2022
642086,51,0.3522727272727273,0.3631428104575163,0.3631428104575163,1.0,2022
642133,80,0.4173913043478261,0.4167190479431337,0.4052504467526575,5.0,2022
642162,1,,2.0,2.0,1.0,2022
642165,41,0.263235294117647,0.23323086519867756,0.21809736070573787,1.0,2022
642180,61,0.4255102040816327,0.29345303148581836,0.29345303148581836,0.0,2022
642201,23,0.4166666666666667,0.20439130434782607,0.20439130434782607,0.0,2022
642336,36,0.6395833333333333,0.4211111111111111,0.36146988910847605,3.0,2022
642350,52,0.29444444444444445,0.263341695418552,0.263341695418552,1.0,2022
642451,8,,0.46875,0.46875,0.0,2022
642707,12,,0.26666666666666666,0.26666666666666666,0.0,2022
642708,95,0.2740740740740741,0.2737856140350877,0.2737856140350877,1.0,2022
642715,106,0.36947368421052634,0.39629290822908264,0.37219450286548583,5.0,2022
642721,39,0.3629032258064516,0.3476007659007659,0.3476007659007659,1.0,2022
642727,55,0.26477272727272727,0.2425818181818182,0.2291132867132867,1.0,2022
642731,95,0.36987951807228914,0.2951323897980245,0.27872591206523095,3.0,2022
643217,84,0.44527027027027033,0.2878909271284271,0.2820783080808081,1.0,2022
643265,79,0.3695652173913043,0.32256983354198543,0.31874873649557195,1.0,2022
643268,4,,0.225,0.225,0.0,2022
643289,35,0.33653846153846156,0.28759999999999997,0.28759999999999997,0.0,2022
643376,15,1.207142857142857,0.5042296296296296,0.403534962962963,2.0,2022
643393,91,0.37312500000000004,0.32834082722832725,0.32834082722832725,1.0,2022
643396,80,0.4,0.3510174744897959,0.3510174744897959,1.0,2022
643446,84,0.422972972972973,0.32706747939560443,0.32172981705794207,1.0,2022
643524,86,0.3368421052631579,0.32789056847545217,0.29614073047415623,2.0,2022
643534,4,,1.125,1.125,1.0,2022
644374,19,0.2785714285714286,0.18683050847457622,0.18683050847457622,0.0,2022
645277,107,0.36020408163265305,0.37974699599465955,0.34265579468671753,6.0,2022
645302,67,0.3396551724137931,0.26355294953802416,0.26355294953802416,0.0,2022
645444,30,0.27599999999999997,0.2250333333333333,0.2250333333333333,0.0,2022
645801,8,,0.2,0.2,0.0,2022
646240,104,0.3946236559139785,0.39352446970639043,0.3611070887002997,4.0,2022
647304,49,0.3793478260869565,0.39187387280493596,0.3510558285872489,2.0,2022
647351,79,0.2855072463768116,0.2955931846493872,0.28375143278311,2.0,2022
647378,1,,0.0,0.0,0.0,2022
649557,61,0.2918181818181818,0.31805698672911786,0.31264379745937126,1.0,2022
650333,80,0.44130434782608696,0.364378484375,0.346453484375,1.0,2022
650380,2,,0.0,0.0,0.0,2022
650391,50,0.3641025641025641,0.296956,0.296956,2.0,2022
650402,79,0.37,0.32655698613622663,0.3118255146002438,3.0,2022
650489,23,0.49375,0.4791739130434783,0.4791739130434783,1.0,2022
650490,80,0.39305555555555555,0.35133749999999997,0.3396238095238095,1.0,2022
650520,9,,0.4166666666666667,0.4166666666666667,0.0,2022
650528,2,,0.7,0.7,0.0,2022
650559,21,0.4333333333333333,0.4196190476190476,0.3978942695722356,1.0,2022
650619,5,,0.27999999999999997,0.27999999999999997,0.0,2022
650907,12,0.5222222222222223,0.29475,0.25738636363636364,1.0,2022
651016,1,,0.0,0.0,0.0,2022
655996,5,,0.65,0.65,1.0,2022
656180,32,0.2692307692307692,0.247888671875,0.22836141123670212,1.0,2022
656185,4,,0.575,0.575,0.0,2022
656252,30,0.2647058823529412,0.17153333333333334,0.17153333333333334,0.0,2022
656282,6,,0.48333333333333334,0.48333333333333334,1.0,2022
656305,94,0.36724137931034484,0.32811849037487334,0.32387513931104356,5.0,2022
656308,68,0.40166666666666667,0.36091402714932125,0.32527193713149594,4.0,2022
656364,4,,0.0,0.0,0.0,2022
656369,2,,0.45,0.45,0.0,2022
656403,20,0.5375,0.22835,0.22835,1.0,2022
656472,1,,0.0,0.0,0.0,2022
656514,12,0.4166666666666667,0.3203333333333333,0.3203333333333333,0.0,2022
656537,21,0.2642857142857143,0.23614285714285713,0.23614285714285713,0.0,2022
656540,2,,0.45,0.45,0.0,2022
