player_name,mlbam_id,year,signal,luck_score,woba_actual,xwoba_actual,predicted_direction,actual_woba_change,correct,PA_apr,wOBA,xwOBA_curr,xwOBA_fix,HR_apr
Kris Bryant,592178,2023,Slight Sell,-0.0515,0.3649,0.3227,DECLINED,-0.0499,True,101,0.34603960396039607,0.3364322232223222,0.32066147614761475,3.0
Nick Castellanos,592206,2023,Sell High,-0.0686,0.3951,0.3548,DECLINED,-0.075,True,117,0.3935897435897436,0.38443102070470886,0.36203749811618624,4.0
Hunter Renfroe,592669,2023,Slight Sell,-0.0452,0.3663,0.298,DECLINED,-0.0347,True,116,0.37887931034482764,0.3573999985584131,0.3020307174510981,7.0
Jurickson Profar,595777,2023,Slight Buy,0.0211,0.2914,0.3151,IMPROVED,0.0303,True,111,0.29144144144144146,0.35603697306328885,0.3190293797556955,3.0
Ramón Urías,602104,2023,Sell High,-0.0669,0.3738,0.3175,DECLINED,-0.0746,True,79,0.34050632911392403,0.30935743647389213,0.30935743647389213,0.0
J. D. Davis,605204,2023,Slight Sell,-0.0558,0.3745,0.3301,DECLINED,-0.0481,True,91,0.3868131868131868,0.39280262045646663,0.33680252208195044,6.0
Teoscar Hernández,606192,2023,Buy Low,0.0496,0.2936,0.3401,IMPROVED,0.0183,True,109,0.3151376146788991,0.3916929995426296,0.36653632676506515,7.0
José Ramírez,608070,2023,Slight Buy,0.0248,0.358,0.3712,IMPROVED,0.0166,True,115,0.3777272727272727,0.3864541469616069,0.3809542164147454,3.0
Carlos Correa,621043,2023,Buy Low,0.0432,0.2816,0.2915,IMPROVED,0.0394,True,101,0.2866336633663366,0.32127749513091725,0.2867565630128916,3.0
Taylor Ward,621493,2023,Slight Buy,0.0292,0.3032,0.3252,IMPROVED,0.0512,True,121,0.3082644628099173,0.34263632965314783,0.32986205050230466,3.0
Jorge Mateo,622761,2023,Sell High,-0.0718,0.4411,0.3907,DECLINED,-0.2439,True,78,0.4461038961038961,0.4261284387834388,0.3799526459488224,6.0
Harold Ramírez,623912,2023,Slight Sell,-0.0486,0.4296,0.3608,DECLINED,-0.1088,True,79,0.4461538461538461,0.4209922103213242,0.37674289808960876,5.0
Pete Alonso,624413,2023,Slight Buy,0.0304,0.3845,0.4006,IMPROVED,-0.0433,False,107,0.39158878504672895,0.42055184270851703,0.39616431502295657,9.0
Adam Frazier,624428,2023,Slight Buy,0.0232,0.3049,0.3084,IMPROVED,0.0291,True,86,0.2854651162790698,0.33488837209302325,0.3008327783650458,3.0
Jorge Soler,624585,2023,Buy Low,0.05,0.3299,0.3683,IMPROVED,0.0354,True,99,0.31785714285714284,0.37645724742670933,0.35629441300919573,4.0
Cody Bellinger,641355,2023,Slight Sell,-0.0427,0.4338,0.3516,DECLINED,-0.0575,True,101,0.4485,0.40945159376402757,0.3535303307332416,7.0
Amed Rosario,642708,2023,Slight Buy,0.0273,0.2582,0.303,IMPROVED,0.0752,True,94,0.25691489361702124,0.324797954799027,0.3165571424199168,1.0
