batter_id,name,type,age,signal,spotrac_url,snapshot_date,contract_years,contract_total_m,annual_salary_m,guaranteed_m,contract_end_year,years_remaining,raw_text
20,Dansby Swanson,Hitter,32,Buy low,https://www.spotrac.com/mlb/chicago-cubs/dansby-swanson-17616/,20240328,7,177.0,25.29,,2030,4,"Dansby Swanson signed a 7 year / $177,000,000 contract with the Chicago Cubs, including a $7,000,000 signing bonus, $177,000,000 guaranteed, and an an"
25,Kyle Schwarber,Hitter,33,Buy low,https://www.spotrac.com/mlb/philadelphia-phillies/kyle-schwarber-15329/,20240323,4,79.0,19.75,79.0,2026,0,"Kyle Schwarber signed a 4 year / $79,000,000 contract with the Philadelphia Phillies, including $79,000,000 guaranteed, and an annual average salary o"
29,Yordan Álvarez,Hitter,29,Buy low,https://www.spotrac.com/mlb/houston-astros/yordan-alvarez-20070/,20230602,6,115.0,19.17,,2028,2,"Yordan Alvarez signed a 6 year / $115,000,000 contract with the Houston Astros, including a $5,000,000 signing bonus, $115,000,000 guaranteed, and an "
30,Jonathan Aranda,Hitter,28,Buy low,https://www.spotrac.com/mlb/tampa-bay-rays/jonathan-aranda-74626/,20230816,1,0.72,0.72,0.72,2023,0,"Jonathan Aranda signed a 1 year / $720,000 contract with the Tampa Bay Rays, including $720,000 guaranteed, and an annual average salary of $720,000. "
32,Austin Riley,Hitter,29,Buy low,https://www.spotrac.com/mlb/atlanta-braves/austin-riley-20523/,20240416,10,212.0,21.2,212.0,2033,7,"Austin Riley signed a 10 year / $212,000,000 contract with the Atlanta Braves, including $212,000,000 guaranteed, and an annual average salary of $21,"
34,Logan Gilbert,Pitcher,29,Buy low,https://www.spotrac.com/mlb/seattle-mariners/logan-gilbert-26037/,20231212,1,0.77,0.77,,2023,0,"Signed a 1 year $767,300"
35,Jake Cronenworth,Hitter,32,Buy low,https://www.spotrac.com/mlb/san-diego-padres/jake-cronenworth-35700/,20230404,1,4.22,4.22,4.22,2023,0,"Jake Cronenworth signed a 1 year / $4,225,000 contract with the San Diego Padres, including $4,225,000 guaranteed, and an annual average salary of $4,"
36,Mike Trout,Hitter,35,Buy low,https://www.spotrac.com/mlb/los-angeles-angels/mike-trout-8553/,20240422,12,426.5,35.54,,2031,5,"Mike Trout signed a 12 year / $426,500,000 contract with the Los Angeles Angels, including a $20,000,000 signing bonus, $426,500,000 guaranteed, and a"
42,Ezequiel Tovar,Hitter,25,Buy low,https://www.spotrac.com/mlb/colorado-rockies/ezequiel-tovar-74805/,20240410,7,63.5,9.07,,2030,4,"Ezequiel Tovar signed a 7 year / $63,500,000 contract with the Colorado Rockies, including a $1,500,000 signing bonus, $63,500,000 guaranteed, and an "
43,Bryson Stott,Hitter,29,Buy low,https://www.spotrac.com/mlb/philadelphia-phillies/bryson-stott-30412/,20231129,1,0.73,0.73,,2023,0,"Signed a 1 year $734,500"
